"","date","individual_ID","CEWL_g_m2h","msmt_temp_C","msmt_RH_percent","time_c_temp","day","cloacal_temp_C","date_time"
"1",2021-06-16,"201",12.37,26.28,29.52,2022-01-13 09:54:00,"capture",26,2021-06-16 09:54:00
"2",2021-06-16,"202",15.8133333333333,27.2666666666667,27,2022-01-13 10:02:00,"capture",29,2021-06-16 10:02:00
"3",2021-06-16,"203",11.99,27.4,26.4,2022-01-13 10:09:00,"capture",28,2021-06-16 10:09:00
"4",2021-06-16,"204",9.675,27.65,25.875,2022-01-13 10:20:00,"capture",29,2021-06-16 10:20:00
"5",2021-06-16,"205",10.3375,27.7,25.8,2022-01-13 10:28:00,"capture",27,2021-06-16 10:28:00
"6",2021-06-16,"206",11.112,27.94,25.96,2022-01-13 10:36:00,"capture",27,2021-06-16 10:36:00
"7",2021-06-16,"207",14.1825,28.05,25.75,2022-01-13 10:41:00,"capture",27,2021-06-16 10:41:00
"8",2021-06-16,"208",11.155,28.025,25.525,2022-01-13 10:48:00,"capture",27,2021-06-16 10:48:00
"9",2021-06-16,"209",13.046,28.14,25.6,2022-01-13 10:54:00,"capture",27,2021-06-16 10:54:00
"10",2021-06-16,"210",11.4033333333333,28.1666666666667,25.5333333333333,2022-01-13 10:59:00,"capture",27,2021-06-16 10:59:00
"11",2021-06-16,"211",13.315,28.2,27,2022-01-13 11:45:00,"capture",30,2021-06-16 11:45:00
"12",2021-06-16,"212",14.746,28.42,28.38,2022-01-13 14:51:00,"capture",27,2021-06-16 14:51:00
"13",2021-06-16,"213",10.804,28.3,28.06,2022-01-13 14:57:00,"capture",26,2021-06-16 14:57:00
"14",2021-06-16,"214",14.018,28.3,27.82,2022-01-13 15:02:00,"capture",28,2021-06-16 15:02:00
"15",2021-06-16,"215",10.334,28.38,27.54,2022-01-13 15:09:00,"capture",27,2021-06-16 15:09:00
"16",2021-06-16,"216",7.152,28.34,27.6,2022-01-13 15:16:00,"capture",27,2021-06-16 15:16:00
"17",2021-06-16,"217",12.045,28.5,28.45,2022-01-13 15:23:00,"capture",28,2021-06-16 15:23:00
"18",2021-06-16,"218",11.7,28.5666666666667,28.6333333333333,2022-01-13 15:30:00,"capture",28,2021-06-16 15:30:00
"19",2021-06-16,"219",13.38,28.7,28.74,2022-01-13 15:37:00,"capture",28,2021-06-16 15:37:00
"20",2021-06-16,"220",18.7266666666667,28.7,28.7,2022-01-13 15:46:00,"capture",27,2021-06-16 15:46:00
"21",2021-06-16,"221",15.594,28.84,28.56,2022-01-13 15:53:00,"capture",27,2021-06-16 15:53:00
"22",2021-06-16,"222",18.254,28.94,28.46,2022-01-13 16:01:00,"capture",28,2021-06-16 16:01:00
"23",2021-06-16,"223",18.93,29.0333333333333,28.5333333333333,2022-01-13 16:08:00,"capture",27,2021-06-16 16:08:00
"24",2021-06-16,"224",19.878,29.12,28.12,2022-01-13 16:19:00,"capture",27,2021-06-16 16:19:00
"25",2021-06-16,"225",18.4366666666667,29.2,27.9666666666667,2022-01-13 16:25:00,"capture",26,2021-06-16 16:25:00
"26",2021-06-16,"226",19.994,29.14,27.86,2022-01-13 16:32:00,"capture",27,2021-06-16 16:32:00
"27",2021-06-24,"201",26.884,26.6,46.62,2022-01-13 09:45:00,"post-exp",24,2021-06-24 09:45:00
"28",2021-06-24,"202",23.1275,27.025,44.175,2022-01-13 11:22:00,"post-exp",25,2021-06-24 11:22:00
"29",2021-06-24,"203",27.798,26.72,44.72,2022-01-13 10:24:00,"post-exp",23,2021-06-24 10:24:00
"30",2021-06-24,"204",23.8,27.12,43.96,2022-01-13 11:34:00,"post-exp",25,2021-06-24 11:34:00
"31",2021-06-24,"205",26.066,26.66,44.28,2022-01-13 10:44:00,"post-exp",25,2021-06-24 10:44:00
"32",2021-06-24,"206",30.7866666666667,27.1333333333333,43.9666666666667,2022-01-13 11:40:00,"post-exp",23,2021-06-24 11:40:00
"33",2021-06-24,"207",24.8966666666667,26.7,45,2022-01-13 10:06:00,"post-exp",26,2021-06-24 10:06:00
"34",2021-06-24,"208",25.184,26.88,43.76,2022-01-13 11:02:00,"post-exp",25,2021-06-24 11:02:00
"35",2021-06-24,"209",26.2866666666667,26.8666666666667,44.5333333333333,2022-01-13 10:30:00,"post-exp",25,2021-06-24 10:30:00
"36",2021-06-24,"210",26.468,26.58,45.52,2022-01-13 10:00:00,"post-exp",25,2021-06-24 10:00:00
"37",2021-06-24,"211",21.422,26.78,44.56,2022-01-13 10:18:00,"post-exp",24,2021-06-24 10:18:00
"38",2021-06-24,"213",20.67,27.1666666666667,43.7666666666667,2022-01-13 11:53:00,"post-exp",25,2021-06-24 11:53:00
"39",2021-06-24,"214",35.712,26.96,43.68,2022-01-13 11:10:00,"post-exp",25,2021-06-24 11:10:00
"40",2021-06-24,"215",25.986,26.92,44.16,2022-01-13 11:16:00,"post-exp",26,2021-06-24 11:16:00
"41",2021-06-24,"216",21.7125,27.225,43.725,2022-01-13 12:06:00,"post-exp",25,2021-06-24 12:06:00
"42",2021-06-24,"217",23.658,26.72,44.44,2022-01-13 10:37:00,"post-exp",25,2021-06-24 10:37:00
"43",2021-06-24,"218",20.902,26.58,46.24,2022-01-13 09:54:00,"post-exp",27,2021-06-24 09:54:00
"44",2021-06-24,"219",42.798,26.56,46.44,2022-01-13 09:39:00,"post-exp",23,2021-06-24 09:39:00
"45",2021-06-24,"220",54.828,26.02,47.72,2022-01-13 09:31:00,"post-exp",25,2021-06-24 09:31:00
"46",2021-06-24,"221",28.486,26.78,44.06,2022-01-13 10:51:00,"post-exp",25,2021-06-24 10:51:00
"47",2021-06-24,"222",26.786,27.14,44.08,2022-01-13 11:48:00,"post-exp",23,2021-06-24 11:48:00
"48",2021-06-24,"223",25.818,27.2,43.96,2022-01-13 12:10:00,"post-exp",24,2021-06-24 12:10:00
"49",2021-06-24,"224",35.075,26.875,43.875,2022-01-13 10:56:00,"post-exp",25,2021-06-24 10:56:00
"50",2021-06-24,"225",56.066,26.72,44.64,2022-01-13 10:12:00,"post-exp",24,2021-06-24 10:12:00
"51",2021-06-24,"226",34.744,27.2,43.68,2022-01-13 11:58:00,"post-exp",24,2021-06-24 11:58:00
"52",2021-06-26,"227",15.3666666666667,26.2666666666667,48.1333333333333,2022-01-13 12:08:00,"capture",25,2021-06-26 12:08:00
"53",2021-06-26,"228",18.922,26.2,47.9,2022-01-13 12:14:00,"capture",26,2021-06-26 12:14:00
"54",2021-06-26,"229",14.76,26.325,47.85,2022-01-13 12:21:00,"capture",25,2021-06-26 12:21:00
"55",2021-06-26,"230",19.094,26.38,47.92,2022-01-13 12:27:00,"capture",26,2021-06-26 12:27:00
"56",2021-06-26,"231",16.538,26.38,47.78,2022-01-13 12:33:00,"capture",25,2021-06-26 12:33:00
"57",2021-06-26,"232",16.646,26.38,47.76,2022-01-13 12:40:00,"capture",26,2021-06-26 12:40:00
"58",2021-06-26,"233",17.24,26.35,47.825,2022-01-13 12:45:00,"capture",26,2021-06-26 12:45:00
"59",2021-06-26,"234",21.9375,26.3,47.725,2022-01-13 12:51:00,"capture",25,2021-06-26 12:51:00
"60",2021-06-26,"235",14.242,26.4,47.98,2022-01-13 12:57:00,"capture",26,2021-06-26 12:57:00
"61",2021-06-26,"236",18.846,26.5,48.04,2022-01-13 13:07:00,"capture",26,2021-06-26 13:07:00
"62",2021-06-26,"237",19.234,26.48,47.68,2022-01-13 13:15:00,"capture",25,2021-06-26 13:15:00
"63",2021-06-26,"238",18.982,26.46,47.72,2022-01-13 13:21:00,"capture",25,2021-06-26 13:21:00
"64",2021-06-26,"239",20.3775,26.6,47.725,2022-01-13 13:28:00,"capture",25,2021-06-26 13:28:00
"65",2021-06-26,"240",23.2266666666667,26.6,47.4666666666667,2022-01-13 13:33:00,"capture",25,2021-06-26 13:33:00
"66",2021-06-26,"241",17.594,26.66,47.44,2022-01-13 13:42:00,"capture",25,2021-06-26 13:42:00
"67",2021-06-26,"242",21.264,26.62,47.14,2022-01-13 13:51:00,"capture",25,2021-06-26 13:51:00
"68",2021-06-26,"243",22.0375,26.6,46.925,2022-01-13 13:57:00,"capture",25,2021-06-26 13:57:00
"69",2021-06-26,"244",19.224,26.62,47.06,2022-01-13 14:03:00,"capture",25,2021-06-26 14:03:00
"70",2021-06-26,"245",21.6175,26.6,46.925,2022-01-13 14:10:00,"capture",25,2021-06-26 14:10:00
"71",2021-06-26,"246",26.195,26.75,47.3,2022-01-13 16:47:00,"capture",27,2021-06-26 16:47:00
"72",2021-06-26,"247",27.2375,26.85,46.925,2022-01-13 16:53:00,"capture",25,2021-06-26 16:53:00
"73",2021-06-26,"248",21.538,26.94,46.86,2022-01-13 16:59:00,"capture",26,2021-06-26 16:59:00
"74",2021-06-26,"249",24.152,27.24,46.38,2022-01-13 17:06:00,"capture",26,2021-06-26 17:06:00
"75",2021-06-26,"250",23.262,27.06,46.18,2022-01-13 17:14:00,"capture",26,2021-06-26 17:14:00
"76",2021-06-26,"251",23.635,27.05,46.125,2022-01-13 17:20:00,"capture",26,2021-06-26 17:20:00
