#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,06/26/2021 19:00:00,30.34,82.01,26.95,,
2,06/26/2021 19:30:00,33.73,78.91,29.59,,
3,06/26/2021 20:00:00,34.22,78.94,30.07,,
4,06/26/2021 20:30:00,34.40,80.26,30.54,,
5,06/26/2021 21:00:00,34.53,81.48,30.93,,
6,06/26/2021 21:30:00,34.82,83.70,31.69,,
7,06/26/2021 22:00:00,35.43,84.27,32.41,,
8,06/26/2021 22:30:00,35.33,86.82,32.83,,
9,06/26/2021 23:00:00,35.33,87.49,32.97,,
10,06/26/2021 23:30:00,35.31,87.47,32.96,,
11,06/27/2021 00:00:00,35.35,87.34,32.96,,
12,06/27/2021 00:30:00,35.28,87.31,32.89,,
13,06/27/2021 01:00:00,35.25,86.87,32.77,,
14,06/27/2021 01:30:00,35.29,86.53,32.74,,
15,06/27/2021 02:00:00,35.27,86.15,32.64,,
16,06/27/2021 02:30:00,35.26,85.96,32.59,,
17,06/27/2021 03:00:00,35.23,85.99,32.57,,
18,06/27/2021 03:30:00,35.24,85.83,32.54,,
19,06/27/2021 04:00:00,35.24,85.66,32.51,,
20,06/27/2021 04:30:00,35.23,85.57,32.48,,
21,06/27/2021 05:00:00,35.25,85.66,32.52,,
22,06/27/2021 05:30:00,35.23,85.45,32.45,,
23,06/27/2021 06:00:00,35.21,84.59,32.25,,
24,06/27/2021 06:30:00,35.23,85.03,32.37,,
25,06/27/2021 07:00:00,35.20,85.85,32.51,,
26,06/27/2021 07:30:00,35.24,85.51,32.48,,
27,06/27/2021 08:00:00,35.22,85.13,32.38,,
28,06/27/2021 08:30:00,35.25,84.86,32.35,,
29,06/27/2021 09:00:00,35.25,84.81,32.34,,
30,06/27/2021 09:30:00,35.19,83.08,31.91,,
31,06/27/2021 10:00:00,34.49,81.82,30.96,,
32,06/27/2021 10:30:00,34.53,80.83,30.79,,
33,06/27/2021 11:00:00,33.20,87.57,30.90,,
34,06/27/2021 11:30:00,33.94,88.65,31.84,,
35,06/27/2021 12:00:00,34.06,89.30,32.09,,
36,06/27/2021 12:30:00,34.19,89.86,32.33,,
37,06/27/2021 13:00:00,34.25,90.60,32.53,,
38,06/27/2021 13:30:00,34.29,90.67,32.58,,
39,06/27/2021 14:00:00,33.59,94.74,32.67,,
40,06/27/2021 14:30:00,34.27,92.88,33.00,,
41,06/27/2021 15:00:00,34.21,92.09,32.78,,
42,06/27/2021 15:30:00,34.26,91.78,32.78,,
43,06/27/2021 16:00:00,34.31,91.49,32.76,,
44,06/27/2021 16:30:00,34.32,91.31,32.74,,
45,06/27/2021 17:00:00,34.34,90.93,32.68,,
46,06/27/2021 17:30:00,34.30,90.76,32.61,,
47,06/27/2021 18:00:00,34.33,90.33,32.56,,
48,06/27/2021 18:30:00,34.30,90.14,32.49,,
49,06/27/2021 19:00:00,34.26,90.12,32.45,,
50,06/27/2021 19:30:00,34.33,90.76,32.64,,
51,06/27/2021 20:00:00,34.33,90.75,32.64,,
52,06/27/2021 20:30:00,34.30,90.38,32.53,,
53,06/27/2021 21:00:00,34.31,90.31,32.53,,
54,06/27/2021 21:30:00,34.81,90.10,32.99,,
55,06/27/2021 22:00:00,35.59,90.14,33.77,,
56,06/27/2021 22:30:00,35.48,89.91,33.61,,
57,06/27/2021 23:00:00,35.54,89.60,33.61,,
58,06/27/2021 23:30:00,35.52,88.91,33.45,,
59,06/28/2021 00:00:00,35.48,88.37,33.30,,
60,06/28/2021 00:30:00,35.45,87.77,33.15,,
61,06/28/2021 01:00:00,35.44,87.23,33.03,,
62,06/28/2021 01:30:00,35.41,86.89,32.93,,
63,06/28/2021 02:00:00,35.40,86.85,32.91,,
64,06/28/2021 02:30:00,35.41,87.12,32.98,,
65,06/28/2021 03:00:00,35.42,87.64,33.10,,
66,06/28/2021 03:30:00,35.48,87.71,33.16,,
67,06/28/2021 04:00:00,35.43,87.66,33.11,,
68,06/28/2021 04:30:00,35.44,87.76,33.14,,
69,06/28/2021 05:00:00,35.47,87.90,33.19,,
70,06/28/2021 05:30:00,35.49,87.65,33.16,,
71,06/28/2021 06:00:00,35.44,87.34,33.06,,
72,06/28/2021 06:30:00,35.40,87.43,33.03,,
73,06/28/2021 07:00:00,35.49,88.80,33.39,,
74,06/28/2021 07:30:00,35.41,87.17,32.99,,
