#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Low Power Warning,Safe Shut down Low Battery,Stopped,End of File
1,08/08/2021 18:00:00,35.28,75.56,30.34,,,,
2,08/08/2021 18:30:00,37.97,75.55,32.93,,,,
3,08/08/2021 19:00:00,38.81,76.38,33.94,,,,
4,08/08/2021 19:30:00,39.22,78.07,34.73,,,,
5,08/08/2021 20:00:00,39.36,79.41,35.17,,,,
6,08/08/2021 20:30:00,39.48,80.04,35.43,,,,
7,08/08/2021 21:00:00,39.45,80.81,35.58,,,,
8,08/08/2021 21:30:00,39.62,80.94,35.77,,,,
9,08/08/2021 22:00:00,40.26,81.45,36.51,,,,
10,08/08/2021 22:30:00,40.22,82.15,36.62,,,,
11,08/08/2021 23:00:00,40.24,82.34,36.69,,,,
12,08/08/2021 23:30:00,40.24,82.48,36.72,,,,
13,08/09/2021 00:00:00,40.26,82.54,36.75,,,,
14,08/09/2021 00:30:00,40.32,82.79,36.87,,,,
15,08/09/2021 01:00:00,40.35,83.35,37.01,,,,
16,08/09/2021 01:30:00,40.41,83.88,37.19,,,,
17,08/09/2021 02:00:00,40.47,83.94,37.27,,,,
18,08/09/2021 02:30:00,40.47,83.81,37.24,,,,
19,08/09/2021 03:00:00,40.47,83.79,37.24,,,,
20,08/09/2021 03:30:00,40.47,83.41,37.15,,,,
21,08/09/2021 04:00:00,40.46,83.43,37.15,,,,
22,08/09/2021 04:30:00,40.52,83.71,37.26,,,,
23,08/09/2021 05:00:00,40.53,83.63,37.26,,,,
24,08/09/2021 05:30:00,40.52,83.29,37.17,,,,
25,08/09/2021 06:00:00,40.46,83.52,37.17,,,,
26,08/09/2021 06:30:00,40.46,83.60,37.19,,,,
27,08/09/2021 07:00:00,40.45,83.49,37.15,,,,
28,08/09/2021 07:30:00,40.48,83.31,37.14,,,,
29,08/09/2021 08:00:00,40.47,83.43,37.16,,,,
30,08/09/2021 08:30:00,40.46,83.23,37.10,,,,
31,08/09/2021 09:00:00,40.45,83.38,37.13,,,,
32,08/09/2021 09:30:00,40.54,83.38,37.21,,,,
33,08/09/2021 10:00:00,39.69,83.56,36.42,,,,
34,08/09/2021 10:30:00,39.54,81.71,35.87,,,,
35,08/09/2021 11:00:00,39.56,81.37,35.81,,,,
36,08/09/2021 11:30:00,39.62,81.34,35.86,,,,
37,08/09/2021 12:00:00,39.58,81.43,35.85,,,,
38,08/09/2021 12:30:00,39.63,81.29,35.86,,,,
39,08/09/2021 13:00:00,39.65,81.18,35.85,,,,
40,08/09/2021 13:30:00,39.42,81.89,35.79,,,,
41,08/09/2021 14:00:00,37.84,78.40,33.46,,,,
42,08/09/2021 14:30:00,38.74,77.10,34.03,,,,
43,08/09/2021 15:00:00,38.78,76.49,33.93,,,,
44,08/09/2021 15:30:00,38.86,76.61,34.04,,,,
