#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,08/08/2021 17:14:45,,,,Logged,
2,08/08/2021 18:00:00,30.09,76.02,25.43,,
3,08/08/2021 18:30:00,32.62,72.14,26.98,,
4,08/08/2021 19:00:00,33.52,65.27,26.13,,
5,08/08/2021 19:30:00,33.85,67.01,26.89,,
6,08/08/2021 20:00:00,34.03,66.15,26.84,,
7,08/08/2021 20:30:00,34.06,66.42,26.94,,
8,08/08/2021 21:00:00,34.10,66.49,27.00,,
9,08/08/2021 21:30:00,34.27,67.41,27.40,,
10,08/08/2021 22:00:00,35.07,65.11,27.56,,
11,08/08/2021 22:30:00,35.13,65.02,27.59,,
12,08/08/2021 23:00:00,35.20,65.09,27.67,,
13,08/08/2021 23:30:00,35.18,65.36,27.72,,
14,08/09/2021 00:00:00,35.19,65.73,27.83,,
15,08/09/2021 00:30:00,35.22,66.13,27.96,,
16,08/09/2021 01:00:00,35.23,69.42,28.81,,
17,08/09/2021 01:30:00,35.33,71.95,29.53,,
18,08/09/2021 02:00:00,35.35,70.63,29.22,,
19,08/09/2021 02:30:00,35.29,70.03,29.03,,
20,08/09/2021 03:00:00,35.28,69.34,28.84,,
21,08/09/2021 03:30:00,35.33,69.18,28.84,,
22,08/09/2021 04:00:00,35.28,69.43,28.87,,
23,08/09/2021 04:30:00,35.31,69.45,28.90,,
24,08/09/2021 05:00:00,35.28,69.11,28.79,,
25,08/09/2021 05:30:00,35.29,69.39,28.87,,
26,08/09/2021 06:00:00,35.30,69.79,28.97,,
27,08/09/2021 06:30:00,35.31,70.18,29.08,,
28,08/09/2021 07:00:00,35.29,70.09,29.04,,
29,08/09/2021 07:30:00,35.26,70.03,28.99,,
30,08/09/2021 08:00:00,35.28,70.07,29.03,,
31,08/09/2021 08:30:00,35.27,70.48,29.12,,
32,08/09/2021 09:00:00,35.29,73.31,29.82,,
33,08/09/2021 09:30:00,35.33,72.51,29.66,,
34,08/09/2021 10:00:00,34.45,71.41,28.55,,
35,08/09/2021 10:30:00,34.25,71.14,28.30,,
36,08/09/2021 11:00:00,34.27,69.47,27.91,,
37,08/09/2021 11:30:00,34.24,69.19,27.81,,
38,08/09/2021 12:00:00,34.25,68.88,27.74,,
39,08/09/2021 12:30:00,34.27,68.62,27.70,,
40,08/09/2021 13:00:00,34.29,69.00,27.81,,
41,08/09/2021 13:30:00,32.89,75.00,27.90,,
42,08/09/2021 14:00:00,33.68,87.15,31.29,,
43,08/09/2021 14:30:00,34.75,84.28,31.74,,
44,08/09/2021 15:00:00,35.18,78.29,30.86,,
45,08/09/2021 15:30:00,35.35,70.74,29.25,,
46,08/09/2021 16:00:00,35.48,71.23,29.50,,
47,08/09/2021 16:30:00,35.51,71.74,29.65,,
48,08/09/2021 17:00:00,35.52,70.85,29.44,,
49,08/09/2021 17:30:00,35.52,70.60,29.38,,
50,08/09/2021 18:00:00,35.51,70.69,29.39,,
51,08/09/2021 18:30:00,35.49,72.08,29.71,,
52,08/09/2021 19:00:00,35.43,71.92,29.62,,
53,08/09/2021 19:30:00,35.47,71.29,29.50,,
54,08/09/2021 20:00:00,35.40,70.57,29.26,,
55,08/09/2021 20:30:00,35.36,70.71,29.25,,
56,08/09/2021 21:00:00,35.37,71.13,29.37,,
57,08/09/2021 21:30:00,35.66,75.96,30.79,,
58,08/09/2021 22:00:00,36.32,77.39,31.77,,
59,08/09/2021 22:30:00,36.27,74.41,31.02,,
60,08/09/2021 23:00:00,36.25,74.96,31.13,,
61,08/09/2021 23:30:00,36.19,74.35,30.93,,
62,08/10/2021 00:00:00,36.11,75.97,31.23,,
63,08/10/2021 00:30:00,36.18,84.32,33.15,,
64,08/10/2021 01:00:00,36.14,84.51,33.15,,
65,08/10/2021 01:30:00,36.10,83.92,32.99,,
66,08/10/2021 02:00:00,36.09,75.93,31.20,,
67,08/10/2021 02:30:00,36.13,74.71,30.96,,
68,08/10/2021 03:00:00,36.10,74.65,30.91,,
69,08/10/2021 03:30:00,36.04,75.03,30.95,,
70,08/10/2021 04:00:00,36.02,76.04,31.16,,
71,08/10/2021 04:30:00,36.01,75.72,31.08,,
72,08/10/2021 05:00:00,36.07,77.10,31.45,,
73,08/10/2021 05:30:00,36.06,77.01,31.42,,
74,08/10/2021 06:00:00,36.07,75.99,31.19,,
75,08/10/2021 06:30:00,36.08,78.06,31.68,,
76,08/10/2021 07:00:00,36.08,76.94,31.42,,
77,08/10/2021 07:30:00,36.09,78.79,31.85,,
78,08/10/2021 08:00:00,36.09,78.71,31.84,,
79,08/10/2021 08:30:00,36.08,78.56,31.79,,
80,08/10/2021 09:00:00,36.08,78.79,31.84,,
81,08/10/2021 09:30:00,34.48,68.37,27.83,,
82,08/10/2021 10:00:00,33.07,76.25,28.36,,
83,08/10/2021 10:30:00,33.50,77.74,29.11,,
84,08/10/2021 11:00:00,33.80,78.04,29.47,,
85,08/10/2021 11:30:00,33.97,78.58,29.76,,
86,08/10/2021 12:00:00,34.07,78.49,29.83,,
87,08/10/2021 12:30:00,34.11,79.01,29.99,,
88,08/10/2021 13:00:00,34.21,79.96,30.29,,
89,08/10/2021 13:30:00,34.22,79.96,30.30,,
90,08/10/2021 14:00:00,34.25,79.67,30.27,,
91,08/10/2021 14:30:00,34.25,79.84,30.31,,
92,08/10/2021 15:00:00,34.27,80.15,30.39,,
93,08/10/2021 15:30:00,34.30,80.62,30.52,,
94,08/10/2021 16:00:00,34.30,81.20,30.64,,
95,08/10/2021 16:30:00,34.31,80.97,30.60,,
96,08/10/2021 17:00:00,34.32,80.56,30.52,,
97,08/10/2021 17:30:00,34.32,80.43,30.50,,
98,08/10/2021 18:00:00,34.27,80.35,30.44,,
99,08/10/2021 18:30:00,34.26,80.00,30.35,,
100,08/10/2021 19:00:00,34.26,80.16,30.38,,
101,08/10/2021 19:30:00,34.25,80.19,30.38,,
102,08/10/2021 20:00:00,34.29,80.30,30.44,,
103,08/10/2021 20:30:00,34.24,79.71,30.27,,
104,08/10/2021 21:00:00,34.22,79.15,30.12,,
105,08/10/2021 21:30:00,34.30,79.49,30.27,,
106,08/10/2021 22:00:00,34.97,81.97,31.47,,
107,08/10/2021 22:30:00,35.00,81.92,31.49,,
108,08/10/2021 23:00:00,34.99,81.76,31.44,,
109,08/10/2021 23:30:00,34.98,81.57,31.39,,
110,08/11/2021 00:00:00,34.97,81.33,31.33,,
111,08/11/2021 00:30:00,34.92,80.44,31.08,,
112,08/11/2021 01:00:00,34.88,80.20,30.99,,
113,08/11/2021 01:30:00,34.89,79.79,30.91,,
114,08/11/2021 02:00:00,34.90,79.44,30.84,,
115,08/11/2021 02:30:00,34.88,79.64,30.87,,
116,08/11/2021 03:00:00,34.85,79.28,30.76,,
117,08/11/2021 03:30:00,34.90,79.02,30.75,,
118,08/11/2021 04:00:00,34.88,78.85,30.69,,
119,08/11/2021 04:30:00,34.84,78.48,30.58,,
120,08/11/2021 05:00:00,34.79,78.16,30.45,,
121,08/11/2021 05:30:00,34.79,78.33,30.49,,
122,08/11/2021 06:00:00,34.79,78.02,30.42,,
123,08/11/2021 06:30:00,34.76,78.22,30.43,,
124,08/11/2021 07:00:00,34.80,77.81,30.39,,
125,08/11/2021 07:30:00,34.81,77.79,30.39,,
126,08/11/2021 08:00:00,34.78,77.41,30.27,,
127,08/11/2021 08:30:00,34.77,77.21,30.22,,
128,08/11/2021 09:00:00,34.78,77.56,30.31,,
129,08/11/2021 09:30:00,34.86,79.67,30.86,,
130,08/11/2021 10:00:00,34.18,78.52,29.94,,
131,08/11/2021 10:30:00,33.97,78.11,29.65,,
132,08/11/2021 11:00:00,32.47,79.02,28.39,,
133,08/11/2021 11:30:00,33.20,86.22,30.62,,
134,08/11/2021 12:00:00,33.88,86.76,31.40,,
135,08/11/2021 12:30:00,34.22,87.47,31.88,,
136,08/11/2021 13:00:00,34.42,88.51,32.29,,
137,08/11/2021 13:30:00,34.53,88.99,32.49,,
138,08/11/2021 14:00:00,34.53,89.50,32.59,,
139,08/11/2021 14:30:00,34.62,90.00,32.78,,
140,08/11/2021 15:00:00,34.68,91.38,33.11,,
141,08/11/2021 15:30:00,34.63,91.43,33.07,,
142,08/11/2021 16:00:00,34.62,91.09,32.99,,
143,08/11/2021 16:30:00,34.61,91.06,32.97,,
144,08/11/2021 17:00:00,34.62,90.77,32.93,,
145,08/11/2021 17:30:00,34.60,90.87,32.93,,
146,08/11/2021 18:00:00,34.56,90.82,32.89,,
147,08/11/2021 18:30:00,34.53,90.94,32.88,,
148,08/11/2021 19:00:00,34.51,90.93,32.85,,
149,08/11/2021 19:30:00,34.53,90.92,32.87,,
150,08/11/2021 20:00:00,34.50,90.47,32.75,,
151,08/11/2021 20:30:00,34.49,90.54,32.76,,
152,08/11/2021 21:00:00,34.54,91.13,32.93,,
153,08/11/2021 21:30:00,34.70,91.36,33.13,,
154,08/11/2021 22:00:00,35.37,91.57,33.83,,
155,08/11/2021 22:30:00,35.48,93.54,34.32,,
156,08/11/2021 23:00:00,35.45,93.57,34.30,,
157,08/11/2021 23:30:00,35.47,93.35,34.27,,
