#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Low Power Warning,Safe Shut down Low Battery,Stopped,End of File
1,06/26/2021 19:00:00,26.26,89.15,24.36,,,,
2,06/26/2021 19:30:00,24.74,86.00,22.27,,,,
3,06/26/2021 20:00:00,23.36,82.43,20.22,,,,
4,06/26/2021 20:30:00,22.40,81.22,19.05,,,,
5,06/26/2021 21:00:00,22.86,85.11,20.25,,,,
6,06/26/2021 21:30:00,23.81,89.72,22.04,,,,
7,06/26/2021 22:00:00,26.20,90.66,24.58,,,,
8,06/26/2021 22:30:00,26.08,87.78,23.93,,,,
9,06/26/2021 23:00:00,24.99,90.56,23.37,,,,
10,06/26/2021 23:30:00,26.16,91.98,24.78,,,,
11,06/27/2021 00:00:00,26.09,90.08,24.37,,,,
12,06/27/2021 00:30:00,25.59,91.65,24.16,,,,
13,06/27/2021 01:00:00,26.19,91.10,24.65,,,,
14,06/27/2021 01:30:00,25.91,90.91,24.34,,,,
15,06/27/2021 02:00:00,25.87,90.71,24.26,,,,
16,06/27/2021 02:30:00,25.97,91.11,24.44,,,,
17,06/27/2021 03:00:00,25.94,90.97,24.38,,,,
18,06/27/2021 03:30:00,25.99,90.90,24.43,,,,
19,06/27/2021 04:00:00,25.93,91.04,24.39,,,,
20,06/27/2021 04:30:00,25.94,91.13,24.41,,,,
21,06/27/2021 05:00:00,25.91,91.07,24.37,,,,
22,06/27/2021 05:30:00,25.94,91.09,24.41,,,,
23,06/27/2021 06:00:00,25.97,91.07,24.43,,,,
24,06/27/2021 06:30:00,25.95,90.86,24.37,,,,
25,06/27/2021 07:00:00,25.97,91.11,24.44,,,,
26,06/27/2021 07:30:00,25.96,90.97,24.41,,,,
27,06/27/2021 08:00:00,26.01,90.92,24.44,,,,
28,06/27/2021 08:30:00,25.98,90.99,24.43,,,,
29,06/27/2021 09:00:00,25.97,91.68,24.55,,,,
30,06/27/2021 09:30:00,26.19,90.38,24.52,,,,
31,06/27/2021 10:00:00,25.07,86.99,22.78,,,,
32,06/27/2021 10:30:00,24.25,92.96,23.07,,,,
33,06/27/2021 11:00:00,25.60,94.13,24.62,,,,
34,06/27/2021 11:30:00,25.14,95.18,24.34,,,,
35,06/27/2021 12:00:00,24.55,95.74,23.85,,,,
36,06/27/2021 12:30:00,24.56,95.74,23.86,,,,
37,06/27/2021 13:00:00,25.10,94.42,24.18,,,,
38,06/27/2021 13:30:00,25.23,94.60,24.34,,,,
39,06/27/2021 14:00:00,24.31,96.00,23.66,,,,
40,06/27/2021 14:30:00,23.15,91.23,21.67,,,,
41,06/27/2021 15:00:00,22.58,88.57,20.63,,,,
