#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,08/08/2021 17:19:01,,,,Logged,
2,08/08/2021 18:00:00,26.21,90.28,24.52,,
3,08/08/2021 18:30:00,25.72,87.94,23.60,,
4,08/08/2021 19:00:00,24.72,85.76,22.20,,
5,08/08/2021 19:30:00,23.85,84.15,21.04,,
6,08/08/2021 20:00:00,24.00,80.56,20.48,,
7,08/08/2021 20:30:00,24.60,78.80,20.70,,
8,08/08/2021 21:00:00,24.48,77.39,20.29,,
9,08/08/2021 21:30:00,23.69,79.10,19.88,,
10,08/08/2021 22:00:00,25.63,81.61,22.28,,
11,08/08/2021 22:30:00,26.40,74.79,21.59,,
12,08/08/2021 23:00:00,24.79,77.95,20.71,,
13,08/08/2021 23:30:00,25.23,75.71,20.66,,
14,08/09/2021 00:00:00,25.94,73.70,20.91,,
15,08/09/2021 00:30:00,24.95,76.10,20.48,,
16,08/09/2021 01:00:00,25.27,74.26,20.38,,
17,08/09/2021 01:30:00,25.79,73.08,20.63,,
18,08/09/2021 02:00:00,25.06,74.32,20.20,,
19,08/09/2021 02:30:00,25.33,73.76,20.33,,
20,08/09/2021 03:00:00,25.68,72.94,20.49,,
21,08/09/2021 03:30:00,25.08,73.57,20.05,,
22,08/09/2021 04:00:00,25.38,73.37,20.30,,
23,08/09/2021 04:30:00,25.61,72.74,20.38,,
24,08/09/2021 05:00:00,25.12,73.47,20.06,,
25,08/09/2021 05:30:00,25.42,73.14,20.28,,
26,08/09/2021 06:00:00,25.57,72.80,20.35,,
27,08/09/2021 06:30:00,25.15,73.55,20.11,,
28,08/09/2021 07:00:00,25.39,73.06,20.24,,
29,08/09/2021 07:30:00,25.59,72.62,20.33,,
30,08/09/2021 08:00:00,25.18,73.46,20.12,,
31,08/09/2021 08:30:00,25.36,73.21,20.24,,
32,08/09/2021 09:00:00,25.53,72.43,20.23,,
33,08/09/2021 09:30:00,25.33,72.69,20.10,,
34,08/09/2021 10:00:00,25.40,74.55,20.58,,
35,08/09/2021 10:30:00,24.53,74.60,19.74,,
36,08/09/2021 11:00:00,23.70,75.92,19.22,,
37,08/09/2021 11:30:00,24.13,75.36,19.52,,
38,08/09/2021 12:00:00,24.75,74.86,20.01,,
39,08/09/2021 12:30:00,24.55,71.89,19.17,,
40,08/09/2021 13:00:00,23.87,73.05,18.77,,
41,08/09/2021 13:30:00,24.43,79.59,20.70,,
42,08/09/2021 14:00:00,24.25,85.91,21.77,,
43,08/09/2021 14:30:00,22.94,81.87,19.70,,
44,08/09/2021 15:00:00,21.60,78.05,17.63,,
45,08/09/2021 15:30:00,21.32,73.84,16.48,,
46,08/09/2021 16:00:00,22.13,73.38,17.17,,
47,08/09/2021 16:30:00,22.55,72.78,17.44,,
48,08/09/2021 17:00:00,21.88,73.98,17.05,,
49,08/09/2021 17:30:00,21.23,72.81,16.18,,
50,08/09/2021 18:00:00,21.87,72.82,16.79,,
51,08/09/2021 18:30:00,22.55,72.37,17.35,,
52,08/09/2021 19:00:00,22.22,73.09,17.19,,
53,08/09/2021 19:30:00,21.31,72.94,16.28,,
54,08/09/2021 20:00:00,21.52,73.06,16.51,,
55,08/09/2021 20:30:00,22.50,71.68,17.15,,
56,08/09/2021 21:00:00,22.62,72.13,17.36,,
57,08/09/2021 21:30:00,21.72,74.36,16.98,,
58,08/09/2021 22:00:00,24.45,85.47,21.88,,
59,08/09/2021 22:30:00,25.78,79.76,22.05,,
60,08/09/2021 23:00:00,23.64,80.71,20.15,,
61,08/09/2021 23:30:00,24.55,84.18,21.73,,
62,08/10/2021 00:00:00,25.64,82.26,22.42,,
63,08/10/2021 00:30:00,24.11,80.41,20.55,,
64,08/10/2021 01:00:00,24.85,84.46,22.08,,
65,08/10/2021 01:30:00,25.48,82.11,22.23,,
66,08/10/2021 02:00:00,24.24,80.08,20.61,,
67,08/10/2021 02:30:00,24.91,83.85,22.02,,
68,08/10/2021 03:00:00,25.47,81.86,22.17,,
69,08/10/2021 03:30:00,24.21,79.65,20.50,,
70,08/10/2021 04:00:00,24.91,83.82,22.01,,
71,08/10/2021 04:30:00,25.44,81.84,22.13,,
72,08/10/2021 05:00:00,24.27,79.44,20.51,,
73,08/10/2021 05:30:00,25.00,83.72,22.08,,
74,08/10/2021 06:00:00,25.45,81.56,22.09,,
75,08/10/2021 06:30:00,24.29,79.15,20.47,,
76,08/10/2021 07:00:00,25.01,83.66,22.08,,
77,08/10/2021 07:30:00,25.37,81.21,21.95,,
78,08/10/2021 08:00:00,24.32,78.48,20.36,,
79,08/10/2021 08:30:00,25.08,83.25,22.07,,
80,08/10/2021 09:00:00,25.32,80.86,21.82,,
81,08/10/2021 09:30:00,25.12,95.47,24.37,,
82,08/10/2021 10:00:00,25.32,92.27,24.00,,
83,08/10/2021 10:30:00,25.14,90.42,23.49,,
84,08/10/2021 11:00:00,24.49,91.85,23.11,,
85,08/10/2021 11:30:00,23.75,92.50,22.49,,
86,08/10/2021 12:00:00,23.27,91.37,21.81,,
87,08/10/2021 12:30:00,23.35,90.92,21.81,,
88,08/10/2021 13:00:00,23.67,90.83,22.11,,
89,08/10/2021 13:30:00,23.71,90.46,22.08,,
90,08/10/2021 14:00:00,23.45,90.45,21.83,,
91,08/10/2021 14:30:00,23.22,90.61,21.62,,
92,08/10/2021 15:00:00,23.28,90.89,21.74,,
93,08/10/2021 15:30:00,23.59,91.09,22.08,,
94,08/10/2021 16:00:00,23.59,90.77,22.02,,
95,08/10/2021 16:30:00,23.43,90.71,21.85,,
96,08/10/2021 17:00:00,23.26,91.40,21.81,,
97,08/10/2021 17:30:00,23.22,91.17,21.72,,
98,08/10/2021 18:00:00,23.37,91.06,21.85,,
99,08/10/2021 18:30:00,23.42,91.10,21.91,,
100,08/10/2021 19:00:00,23.36,91.20,21.87,,
101,08/10/2021 19:30:00,23.23,91.24,21.75,,
102,08/10/2021 20:00:00,23.25,91.07,21.74,,
103,08/10/2021 20:30:00,23.40,90.89,21.86,,
104,08/10/2021 21:00:00,23.40,90.68,21.82,,
105,08/10/2021 21:30:00,23.13,91.28,21.66,,
106,08/10/2021 22:00:00,24.38,91.75,22.98,,
107,08/10/2021 22:30:00,25.94,90.04,24.21,,
108,08/10/2021 23:00:00,25.34,94.06,24.35,,
109,08/10/2021 23:30:00,24.33,95.97,23.68,,
110,08/11/2021 00:00:00,25.09,94.55,24.19,,
111,08/11/2021 00:30:00,25.74,93.51,24.64,,
112,08/11/2021 01:00:00,24.68,95.38,23.92,,
113,08/11/2021 01:30:00,24.57,96.27,23.97,,
114,08/11/2021 02:00:00,25.60,92.28,24.28,,
115,08/11/2021 02:30:00,25.36,94.64,24.47,,
116,08/11/2021 03:00:00,24.36,96.31,23.77,,
117,08/11/2021 03:30:00,25.01,95.34,24.24,,
118,08/11/2021 04:00:00,25.74,93.73,24.68,,
119,08/11/2021 04:30:00,24.71,95.66,24.00,,
120,08/11/2021 05:00:00,24.50,96.58,23.96,,
121,08/11/2021 05:30:00,25.50,92.84,24.29,,
122,08/11/2021 06:00:00,25.36,94.82,24.50,,
123,08/11/2021 06:30:00,24.30,96.50,23.74,,
124,08/11/2021 07:00:00,25.00,95.51,24.26,,
125,08/11/2021 07:30:00,25.74,93.75,24.69,,
126,08/11/2021 08:00:00,24.74,95.77,24.05,,
127,08/11/2021 08:30:00,24.54,96.75,24.02,,
128,08/11/2021 09:00:00,25.53,92.93,24.34,,
129,08/11/2021 09:30:00,25.47,94.44,24.54,,
130,08/11/2021 10:00:00,24.90,94.74,24.03,,
131,08/11/2021 10:30:00,24.38,94.75,23.51,,
