date,CEWL_time,day,individual_ID,cloacal_temp_C,notes
6/16/21,9:54,capture,201,26,
6/16/21,10:02,capture,202,29,
6/16/21,10:09,capture,203,28,
6/16/21,10:20,capture,204,29,
6/16/21,10:28,capture,205,27,
6/16/21,10:36,capture,206,27,
6/16/21,10:41,capture,207,27,
6/16/21,10:48,capture,208,27,
6/16/21,10:54,capture,209,27,
6/16/21,10:59,capture,210,27,
6/16/21,11:45,capture,211,30,
6/16/21,14:51,capture,212,27,
6/16/21,14:57,capture,213,26,
6/16/21,15:02,capture,214,28,
6/16/21,15:09,capture,215,27,
6/16/21,15:16,capture,216,27,
6/16/21,15:23,capture,217,28,
6/16/21,15:30,capture,218,28,
6/16/21,15:37,capture,219,28,
6/16/21,15:46,capture,220,27,
6/16/21,15:53,capture,221,27,
6/16/21,16:01,capture,222,28,
6/16/21,16:08,capture,223,27,
6/16/21,16:19,capture,224,27,
6/16/21,16:25,capture,225,26,
6/16/21,16:32,capture,226,27,
6/24/21,9:45,post-exp,201,24,questionable TC readings
6/24/21,11:22,post-exp,202,25,questionable TC readings
6/24/21,10:24,post-exp,203,23,questionable TC readings
6/24/21,11:34,post-exp,204,25,questionable TC readings
6/24/21,10:44,post-exp,205,25,questionable TC readings
6/24/21,11:40,post-exp,206,23,questionable TC readings
6/24/21,10:06,post-exp,207,26,questionable TC readings
6/24/21,11:02,post-exp,208,25,questionable TC readings
6/24/21,10:30,post-exp,209,25,questionable TC readings
6/24/21,10:00,post-exp,210,25,questionable TC readings
6/24/21,10:18,post-exp,211,24,questionable TC readings
6/24/21,11:53,post-exp,213,25,questionable TC readings
6/24/21,11:10,post-exp,214,25,questionable TC readings
6/24/21,11:16,post-exp,215,26,questionable TC readings
6/24/21,12:06,post-exp,216,25,questionable TC readings
6/24/21,10:37,post-exp,217,25,questionable TC readings
6/24/21,9:54,post-exp,218,27,questionable TC readings
6/24/21,9:39,post-exp,219,23,questionable TC readings
6/24/21,9:31,post-exp,220,25,questionable TC readings
6/24/21,10:51,post-exp,221,25,questionable TC readings
6/24/21,11:48,post-exp,222,23,questionable TC readings
6/24/21,12:10,post-exp,223,24,questionable TC readings
6/24/21,10:56,post-exp,224,25,questionable TC readings
6/24/21,10:12,post-exp,225,24,questionable TC readings
6/24/21,11:58,post-exp,226,24,questionable TC readings
6/26/21,12:08,capture,227,25,
6/26/21,12:14,capture,228,26,
6/26/21,12:21,capture,229,25,
6/26/21,12:27,capture,230,26,
6/26/21,12:33,capture,231,25,
6/26/21,12:40,capture,232,26,
6/26/21,12:45,capture,233,26,
6/26/21,12:51,capture,234,25,
6/26/21,12:57,capture,235,26,
6/26/21,13:07,capture,236,26,
6/26/21,13:15,capture,237,25,
6/26/21,13:21,capture,238,25,
6/26/21,13:28,capture,239,25,
6/26/21,13:33,capture,240,25,
6/26/21,13:42,capture,241,25,
6/26/21,13:51,capture,242,25,
6/26/21,13:57,capture,243,25,
