trial_number,temp_tmt,humidity_tmt,individual_ID,SVL_mm,conclusion,notes
1,hot,dry,201,72,complete,
1,cool,dry,202,70,complete,
1,hot,humid,203,69,complete,
1,cool,dry,204,66,complete,
1,cool,dry,205,68,complete,
1,hot,humid,206,69,complete,
1,cool,dry,207,71,complete,
1,hot,dry,208,70,complete,
1,cool,humid,209,66,complete,
1,hot,dry,210,70,complete,
1,hot,dry,211,71,complete,
1,hot,humid,212,69,canceled,died
1,cool,dry,213,74,complete,
1,cool,humid,214,64,complete,
1,cool,dry,215,73,complete,
1,cool,dry,216,72,complete,
1,cool,humid,217,71,complete,
1,cool,humid,218,69,complete,
1,hot,dry,219,67,canceled,died
1,hot,humid,220,67,complete,
1,hot,dry,221,70,complete,
1,cool,humid,222,66,complete,
1,hot,dry,223,75,complete,
1,cool,humid,224,73,complete,
1,hot,humid,225,69,complete,
1,hot,humid,226,67,complete,
2,cool,dry,227,71,complete,
2,hot,dry,228,68,complete,
2,hot,humid,229,71,complete,
2,cool,dry,230,70,complete,
2,cool,humid,231,70,complete,
2,hot,dry,232,76,complete,
2,hot,dry,233,63,canceled,rehab early
2,cool,dry,234,67,complete,
2,cool,dry,235,64,complete,
2,hot,humid,236,70,complete,
2,hot,humid,237,71,complete,
2,cool,dry,238,66,complete,
2,cool,humid,239,69,complete,
2,hot,humid,240,69,complete,
2,hot,dry,241,73,complete,
2,hot,dry,242,67,complete,
2,hot,humid,243,72,complete,
2,hot,humid,244,69,complete,
2,cool,dry,245,71,complete,
2,hot,dry,246,67,complete,
2,hot,dry,247,67,complete,
2,hot,humid,248,64,canceled,rehab early
2,cool,humid,249,71,complete,
2,hot,dry,250,66,complete,
2,cool,humid,251,62,complete,
2,cool,dry,252,66,complete,
2,cool,humid,253,62,complete,
2,cool,humid,254,60,canceled,escaped during capture day
2,hot,humid,255,63,complete,
2,cool,humid,256,72,complete,
2,cool,dry,257,62,complete,
2,cool,humid,258,68,complete,
3,cool,dry,259,66,,
3,cool,humid,260,67,,
3,cool,humid,261,68,,
3,hot,humid,262,72,,
3,hot,dry,263,77,,
3,hot,humid,264,71,,
3,hot,dry,265,67,,
3,hot,humid,266,65,,
3,cool,dry,267,66,,
3,hot,dry,268,69,,
3,hot,humid,269,67,,
3,cool,dry,270,74,,
3,hot,humid,271,66,,
3,hot,dry,272,60,,
3,cool,dry,273,67,,
3,hot,humid,274,69,,
3,cool,dry,275,66,,
3,hot,dry,276,64,,
3,hot,humid,277,64,,
3,cool,humid,278,68,,
3,cool,humid,279,70,,
3,hot,dry,280,63,,
3,cool,dry,281,69,,
3,cool,humid,282,65,,
3,hot,humid,283,69,canceled,died
3,cool,dry,284,69,canceled,escaped during capture day
3,hot,dry,285,65,,
3,cool,humid,286,65,,
3,hot,dry,287,68,,
3,hot,humid,288,67,,
3,cool,humid,289,66,,
3,cool,dry,290,67,,
3,hot,dry,291,67,,
3,cool,dry,292,61,,
3,cool,humid,293,63,,
