Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,7:12,7:02,6:32,6:49,6:11,5:49,5:52,6:12,6:35,6:58,7:24,6:53
2,7:12,7:01,6:30,6:47,6:10,5:49,5:52,6:13,6:36,6:59,7:25,6:54
3,7:12,7:00,6:29,6:46,6:09,5:48,5:53,6:13,6:37,6:59,7:26,6:55
4,7:12,6:59,6:28,6:45,6:08,5:48,5:53,6:14,6:38,7:00,7:27,6:56
5,7:12,6:58,6:26,6:43,6:07,5:48,5:54,6:15,6:38,7:01,7:28,6:57
6,7:12,6:57,6:25,6:42,6:06,5:48,5:54,6:16,6:39,7:02,7:29,6:58
7,7:12,6:57,6:24,6:40,6:05,5:48,5:55,6:16,6:40,7:03,6:30,6:58
8,7:12,6:56,6:22,6:39,6:04,5:47,5:55,6:17,6:41,7:03,6:31,6:59
9,7:12,6:55,6:21,6:38,6:03,5:47,5:56,6:18,6:41,7:04,6:32,7:00
10,7:12,6:54,6:20,6:36,6:02,5:47,5:56,6:19,6:42,7:05,6:33,7:01
11,7:12,6:53,6:18,6:35,6:01,5:47,5:57,6:19,6:43,7:06,6:34,7:02
12,7:11,6:52,6:17,6:34,6:00,5:47,5:58,6:20,6:43,7:07,6:35,7:02
13,7:11,6:51,6:16,6:32,6:00,5:47,5:58,6:21,6:44,7:07,6:36,7:03
14,7:11,6:50,7:14,6:31,5:59,5:47,5:59,6:22,6:45,7:08,6:37,7:04
15,7:11,6:49,7:13,6:30,5:58,5:47,6:00,6:22,6:46,7:09,6:38,7:04
16,7:10,6:47,7:11,6:29,5:57,5:47,6:00,6:23,6:46,7:10,6:39,7:05
17,7:10,6:46,7:10,6:27,5:57,5:48,6:01,6:24,6:47,7:11,6:40,7:06
18,7:10,6:45,7:09,6:26,5:56,5:48,6:02,6:25,6:48,7:12,6:41,7:06
19,7:09,6:44,7:07,6:25,5:55,5:48,6:02,6:26,6:49,7:13,6:42,7:07
20,7:09,6:43,7:06,6:23,5:55,5:48,6:03,6:26,6:49,7:13,6:43,7:07
21,7:08,6:42,7:04,6:22,5:54,5:48,6:04,6:27,6:50,7:14,6:44,7:08
22,7:08,6:40,7:03,6:21,5:53,5:49,6:04,6:28,6:51,7:15,6:45,7:08
23,7:08,6:39,7:01,6:20,5:53,5:49,6:05,6:29,6:52,7:16,6:46,7:09
24,7:07,6:38,7:00,6:19,5:52,5:49,6:06,6:29,6:52,7:17,6:47,7:09
25,7:06,6:37,6:59,6:18,5:52,5:49,6:06,6:30,6:53,7:18,6:48,7:09
26,7:06,6:36,6:57,6:16,5:51,5:50,6:07,6:31,6:54,7:19,6:49,7:10
27,7:05,6:34,6:56,6:15,5:51,5:50,6:08,6:32,6:55,7:20,6:50,7:10
28,7:05,6:33,6:54,6:14,5:50,5:50,6:09,6:32,6:55,7:21,6:51,7:11
29,7:04,,6:53,6:13,5:50,5:51,6:09,6:33,6:56,7:22,6:52,7:11
30,7:03,,6:52,6:12,5:50,5:51,6:10,6:34,6:57,7:23,6:52,7:11
31,7:02,,6:50,,5:49,,6:11,6:35,,7:23,,7:11
