Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,17:02,17:31,17:58,19:24,19:49,20:12,20:21,20:06,19:29,18:46,18:07,16:50
2,17:02,17:32,17:59,19:25,19:50,20:13,20:21,20:05,19:28,18:44,18:06,16:50
3,17:03,17:33,18:00,19:26,19:51,20:14,20:21,20:04,19:26,18:43,18:06,16:50
4,17:04,17:34,18:01,19:27,19:51,20:14,20:21,20:03,19:25,18:42,18:05,16:50
5,17:05,17:35,18:02,19:28,19:52,20:15,20:21,20:02,19:23,18:40,18:04,16:50
6,17:06,17:36,18:03,19:28,19:53,20:15,20:21,20:01,19:22,18:39,18:03,16:50
7,17:07,17:37,18:04,19:29,19:54,20:16,20:20,20:00,19:21,18:38,17:02,16:50
8,17:07,17:38,18:05,19:30,19:55,20:16,20:20,19:59,19:19,18:36,17:01,16:50
9,17:08,17:39,18:05,19:31,19:56,20:17,20:20,19:58,19:18,18:35,17:00,16:50
10,17:09,17:40,18:06,19:32,19:56,20:17,20:20,19:57,19:16,18:33,17:00,16:50
11,17:10,17:41,18:07,19:33,19:57,20:18,20:19,19:56,19:15,18:32,16:59,16:51
12,17:11,17:42,18:08,19:33,19:58,20:18,20:19,19:54,19:13,18:31,16:58,16:51
13,17:12,17:43,18:09,19:34,19:59,20:18,20:18,19:53,19:12,18:29,16:57,16:51
14,17:13,17:44,19:10,19:35,20:00,20:19,20:18,19:52,19:10,18:28,16:57,16:51
15,17:14,17:45,19:11,19:36,20:00,20:19,20:18,19:51,19:09,18:27,16:56,16:52
16,17:15,17:46,19:11,19:37,20:01,20:20,20:17,19:50,19:08,18:26,16:56,16:52
17,17:16,17:47,19:12,19:37,20:02,20:20,20:17,19:49,19:06,18:24,16:55,16:52
18,17:17,17:48,19:13,19:38,20:03,20:20,20:16,19:47,19:05,18:23,16:54,16:53
19,17:18,17:49,19:14,19:39,20:03,20:20,20:15,19:46,19:03,18:22,16:54,16:53
20,17:19,17:50,19:15,19:40,20:04,20:21,20:15,19:45,19:02,18:21,16:53,16:54
21,17:20,17:51,19:15,19:41,20:05,20:21,20:14,19:44,19:00,18:19,16:53,16:54
22,17:21,17:52,19:16,19:42,20:06,20:21,20:14,19:42,18:59,18:18,16:53,16:55
23,17:22,17:53,19:17,19:42,20:06,20:21,20:13,19:41,18:57,18:17,16:52,16:55
24,17:23,17:54,19:18,19:43,20:07,20:21,20:12,19:40,18:56,18:16,16:52,16:56
25,17:24,17:55,19:19,19:44,20:08,20:21,20:11,19:38,18:55,18:15,16:51,16:56
26,17:25,17:56,19:20,19:45,20:09,20:21,20:11,19:37,18:53,18:14,16:51,16:57
27,17:26,17:57,19:20,19:46,20:09,20:21,20:10,19:36,18:52,18:13,16:51,16:58
28,17:27,17:58,19:21,19:47,20:10,20:22,20:09,19:34,18:50,18:12,16:51,16:58
29,17:28,,19:22,19:47,20:11,20:21,20:08,19:33,18:49,18:10,16:50,16:59
30,17:29,,19:23,19:48,20:11,20:21,20:07,19:32,18:47,18:09,16:50,17:00
31,17:30,,19:24,,20:12,,20:07,19:30,,18:08,,17:01
