date;time;temperature_F;wind_speed_mph;relative_humidity_percent;solar_radiation_W_sqm;precipitation_inches
6/15/21;12:00 AM;54.0;0.1;100.0;0.0;*
6/15/21;12:15 AM;54.0;0.1;100.0;0.0;*
6/15/21;12:30 AM;53.9;0.1;100.0;0.0;*
6/15/21;12:45 AM;54.0;0.1;100.0;0.0;*
6/15/21;1:00 AM;54.0;0.1;100.0;0.0;*
6/15/21;1:15 AM;53.8;0.1;100.0;0.0;*
6/15/21;1:30 AM;53.8;0.1;100.0;0.0;*
6/15/21;1:45 AM;54.0;0.1;100.0;0.0;*
6/15/21;2:00 AM;54.2;0.8;100.0;0.0;*
6/15/21;2:15 AM;54.0;0.6;100.0;0.0;*
6/15/21;2:30 AM;53.9;1.7;100.0;0.0;*
6/15/21;2:45 AM;53.8;0.7;100.0;0.0;*
6/15/21;3:00 AM;54.1;3.4;100.0;0.0;*
6/15/21;3:15 AM;54.3;2.2;100.0;0.0;*
6/15/21;3:30 AM;55.8;2.9;99.2;1.5;*
6/15/21;3:45 AM;62.2;4.8;75.4;3.4;*
6/15/21;4:00 AM;64.9;6.6;64.8;0.2;*
6/15/21;4:15 AM;65.6;6.4;62.2;0.0;*
6/15/21;4:30 AM;65.2;6.1;62.7;0.0;*
6/15/21;4:45 AM;64.9;4.8;62.5;0.0;*
6/15/21;5:00 AM;64.6;4.5;62.8;0.0;*
6/15/21;5:15 AM;64.6;5.0;62.4;0.0;*
6/15/21;5:30 AM;64.6;5.4;61.6;0.0;*
6/15/21;5:45 AM;65.0;6.8;59.7;0.0;*
6/15/21;6:00 AM;64.8;8.4;59.7;2.9;*
6/15/21;6:15 AM;64.5;8.2;59.9;9.6;*
6/15/21;6:30 AM;64.9;9.8;59.8;17.2;*
6/15/21;6:45 AM;65.0;7.9;59.6;22.8;*
6/15/21;7:00 AM;65.8;6.6;59.1;93.6;*
6/15/21;7:15 AM;66.9;7.8;57.3;178.0;*
6/15/21;7:30 AM;68.0;9.5;55.4;224.3;*
6/15/21;7:45 AM;68.4;10.1;54.8;276.0;*
6/15/21;8:00 AM;68.8;8.9;54.1;329.5;*
6/15/21;8:15 AM;69.9;9.7;52.5;383.6;*
6/15/21;8:30 AM;70.2;12.8;52.1;440.3;*
6/15/21;8:45 AM;70.8;12.3;51.4;496.1;*
6/15/21;9:00 AM;71.3;9.9;50.7;552.8;*
6/15/21;9:15 AM;72.2;9.3;49.4;605.4;*
6/15/21;9:30 AM;73.0;8.0;47.8;657.8;*
6/15/21;9:45 AM;73.7;9.8;46.8;708.3;*
6/15/21;10:00 AM;75.0;10.1;45.2;758.4;*
6/15/21;10:15 AM;76.1;9.6;44.1;803.5;*
6/15/21;10:30 AM;77.5;9.1;42.4;845.8;*
6/15/21;10:45 AM;78.9;9.2;41.5;882.9;*
6/15/21;11:00 AM;80.4;9.4;39.7;915.7;*
6/15/21;11:15 AM;82.4;8.4;38.3;945.1;*
6/15/21;11:30 AM;83.5;9.9;36.9;971.3;*
6/15/21;11:45 AM;84.4;10.5;36.3;994.0;*
6/15/21;12:00 PM;85.4;9.2;35.1;1010.9;*
6/15/21;12:15 PM;86.0;10.6;34.5;1023.8;*
6/15/21;12:30 PM;86.3;11.9;34.1;1030.8;*
6/15/21;12:45 PM;87.3;8.6;34.0;1031.4;*
6/15/21;1:00 PM;88.1;9.0;34.2;1032.0;*
6/15/21;1:15 PM;88.4;10.0;32.6;1031.0;*
6/15/21;1:30 PM;89.0;8.9;32.7;1027.2;*
6/15/21;1:45 PM;89.1;11.1;32.7;1017.7;*
6/15/21;2:00 PM;90.0;9.7;33.0;1003.6;*
6/15/21;2:15 PM;90.6;9.8;31.9;986.7;*
6/15/21;2:30 PM;90.9;10.8;30.9;969.7;*
6/15/21;2:45 PM;91.9;9.1;29.3;946.2;*
6/15/21;3:00 PM;93.2;6.8;28.1;915.4;*
6/15/21;3:15 PM;93.1;6.4;28.2;880.8;*
6/15/21;3:30 PM;83.4;6.3;40.2;842.1;*
6/15/21;3:45 PM;81.5;6.6;43.4;806.7;*
6/15/21;4:00 PM;81.1;5.1;43.7;765.9;*
6/15/21;4:15 PM;80.7;5.2;43.6;719.1;*
6/15/21;4:30 PM;79.4;5.3;45.1;668.0;*
6/15/21;4:45 PM;78.0;5.3;46.7;616.1;*
6/15/21;5:00 PM;76.5;5.3;47.9;569.2;*
6/15/21;5:15 PM;75.3;4.9;49.0;522.3;*
6/15/21;5:30 PM;73.9;5.7;50.6;474.6;*
6/15/21;5:45 PM;73.6;4.7;51.5;426.7;*
6/15/21;6:00 PM;73.6;3.6;51.4;377.0;*
6/15/21;6:15 PM;72.7;4.0;52.4;325.8;*
6/15/21;6:30 PM;71.9;3.6;53.6;277.4;*
6/15/21;6:45 PM;69.8;3.9;56.8;119.8;*
6/15/21;7:00 PM;68.7;3.8;59.1;80.2;*
6/15/21;7:15 PM;68.0;3.7;60.5;78.1;*
6/15/21;7:30 PM;67.4;2.8;61.4;56.6;*
6/15/21;7:45 PM;66.7;3.6;62.7;47.9;*
6/15/21;8:00 PM;65.5;3.8;65.1;33.4;*
6/15/21;8:15 PM;65.0;2.6;66.1;21.2;*
6/15/21;8:30 PM;65.2;4.1;65.5;8.8;*
6/15/21;8:45 PM;65.7;4.1;63.7;0.6;*
6/15/21;9:00 PM;67.3;4.2;60.5;0.0;*
6/15/21;9:15 PM;74.7;5.2;46.4;3.0;*
6/15/21;9:30 PM;84.3;7.4;29.1;1.6;*
6/15/21;9:45 PM;86.0;9.9;25.1;0.0;*
6/15/21;10:00 PM;85.7;11.5;23.2;0.0;*
6/15/21;10:15 PM;85.5;12.9;22.0;0.0;*
6/15/21;10:30 PM;85.1;13.9;21.0;0.0;*
6/15/21;10:45 PM;84.7;15.0;20.8;0.0;*
6/15/21;11:00 PM;84.3;16.7;20.5;0.0;*
6/15/21;11:15 PM;83.8;16.4;20.8;0.0;*
6/15/21;11:30 PM;83.4;15.3;20.9;0.0;*
6/15/21;11:45 PM;82.6;16.6;21.8;0.0;*
6/16/21;12:00 AM;81.7;16.2;22.7;0.0;*
6/16/21;12:15 AM;81.3;14.4;22.2;0.0;*
6/16/21;12:30 AM;80.7;14.2;21.9;0.0;*
6/16/21;12:45 AM;80.9;13.8;20.7;0.0;*
6/16/21;1:00 AM;80.7;14.2;20.9;0.0;*
6/16/21;1:15 AM;80.3;14.5;21.0;0.0;*
6/16/21;1:30 AM;79.9;14.2;21.5;0.0;*
6/16/21;1:45 AM;79.8;13.9;21.5;0.0;*
6/16/21;2:00 AM;79.7;14.1;21.8;0.0;*
6/16/21;2:15 AM;79.5;12.8;22.0;0.0;*
6/16/21;2:30 AM;79.2;12.3;21.9;0.0;*
6/16/21;2:45 AM;79.6;13.6;20.8;0.0;*
6/16/21;3:00 AM;80.0;14.6;20.2;0.0;*
6/16/21;3:15 AM;79.5;12.3;20.5;0.0;*
6/16/21;3:30 AM;79.1;13.1;20.7;0.0;*
6/16/21;3:45 AM;79.2;14.0;20.6;0.0;*
6/16/21;4:00 AM;78.8;15.0;20.9;0.0;*
6/16/21;4:15 AM;78.8;14.6;21.1;0.0;*
6/16/21;4:30 AM;78.7;12.4;21.1;0.0;*
6/16/21;4:45 AM;78.7;15.3;21.2;0.0;*
6/16/21;5:00 AM;77.8;15.0;23.2;0.0;*
6/16/21;5:15 AM;77.7;15.0;22.9;0.0;*
6/16/21;5:30 AM;78.2;15.8;22.2;0.0;*
6/16/21;5:45 AM;78.5;16.1;21.9;0.0;*
6/16/21;6:00 AM;78.3;13.8;22.0;4.0;*
6/16/21;6:15 AM;78.3;14.3;22.1;21.1;*
6/16/21;6:30 AM;78.3;12.6;22.3;42.4;*
6/16/21;6:45 AM;78.3;11.3;23.1;62.8;*
6/16/21;7:00 AM;78.6;11.4;23.3;105.2;*
6/16/21;7:15 AM;79.4;13.6;22.9;155.9;*
6/16/21;7:30 AM;79.8;11.9;22.9;159.8;*
6/16/21;7:45 AM;79.9;12.6;22.9;144.6;*
6/16/21;8:00 AM;80.5;13.5;22.9;260.7;*
6/16/21;8:15 AM;81.4;13.5;22.8;305.8;*
6/16/21;8:30 AM;81.7;12.6;23.0;293.0;*
6/16/21;8:45 AM;82.6;11.2;23.1;433.1;*
6/16/21;9:00 AM;83.7;10.9;23.2;499.4;*
6/16/21;9:15 AM;84.3;13.1;23.4;559.2;*
6/16/21;9:30 AM;85.7;11.2;22.4;608.2;*
6/16/21;9:45 AM;87.1;10.3;21.6;647.0;*
6/16/21;10:00 AM;87.7;9.2;22.1;696.2;*
6/16/21;10:15 AM;88.2;11.5;21.8;744.1;*
6/16/21;10:30 AM;88.5;11.1;21.2;692.8;*
6/16/21;10:45 AM;90.1;9.1;20.7;745.5;*
6/16/21;11:00 AM;91.0;9.1;20.4;759.5;*
6/16/21;11:15 AM;91.5;10.2;20.3;836.0;*
6/16/21;11:30 AM;92.2;10.4;20.3;914.8;*
6/16/21;11:45 AM;92.5;10.8;19.9;831.2;*
6/16/21;12:00 PM;92.8;10.0;20.7;806.3;*
6/16/21;12:15 PM;93.5;10.3;20.8;944.4;*
6/16/21;12:30 PM;94.1;10.4;19.9;1011.7;*
6/16/21;12:45 PM;94.4;13.1;19.5;975.9;*
6/16/21;1:00 PM;94.5;11.7;20.0;904.8;*
6/16/21;1:15 PM;95.9;8.7;19.9;1005.9;*
6/16/21;1:30 PM;96.5;11.2;19.8;938.9;*
6/16/21;1:45 PM;95.7;11.1;19.7;614.8;*
6/16/21;2:00 PM;96.5;10.3;20.0;959.0;*
6/16/21;2:15 PM;97.8;8.5;19.8;952.0;*
6/16/21;2:30 PM;98.2;11.0;18.8;920.8;*
6/16/21;2:45 PM;98.4;10.4;18.8;901.3;*
