date;time;temperature_F;wind_speed_mph;RH_percent;solar_radiation_W_m2;precip_inches
12/4/20;12:00 AM;42.5;1.7;66.2;0.0;*
12/4/20;12:15 AM;41.9;1.4;66.2;0.0;*
12/4/20;12:30 AM;42.8;1.9;65.1;0.0;*
12/4/20;12:45 AM;46.5;2.1;56.5;0.2;*
12/4/20;1:00 AM;53.5;5.6;42.6;2.0;*
12/4/20;1:15 AM;59.0;7.7;30.0;0.0;*
12/4/20;1:30 AM;59.6;7.8;27.9;0.0;*
12/4/20;1:45 AM;59.3;4.9;30.0;0.0;*
12/4/20;2:00 AM;59.3;4.3;29.1;0.0;*
12/4/20;2:15 AM;59.0;5.0;27.7;0.0;*
12/4/20;2:30 AM;58.9;6.3;28.2;0.0;*
12/4/20;2:45 AM;58.9;8.0;28.1;0.0;*
12/4/20;3:00 AM;59.0;8.0;28.3;0.0;*
12/4/20;3:15 AM;58.4;7.9;30.6;0.0;*
12/4/20;3:30 AM;58.1;7.5;31.8;0.0;*
12/4/20;3:45 AM;57.8;7.6;31.4;0.0;*
12/4/20;4:00 AM;57.9;8.1;29.8;0.0;*
12/4/20;4:15 AM;57.4;5.8;28.9;0.0;*
12/4/20;4:30 AM;57.5;6.3;27.1;0.0;*
12/4/20;4:45 AM;57.0;7.3;29.3;0.0;*
12/4/20;5:00 AM;56.7;9.1;31.1;0.0;*
12/4/20;5:15 AM;56.2;7.8;32.5;0.0;*
12/4/20;5:30 AM;56.4;7.9;31.7;0.0;*
12/4/20;5:45 AM;56.6;6.6;30.3;0.0;*
12/4/20;6:00 AM;56.6;7.3;29.7;0.0;*
12/4/20;6:15 AM;56.9;5.4;28.4;0.0;*
12/4/20;6:30 AM;57.6;4.7;26.8;0.0;*
12/4/20;6:45 AM;58.5;4.9;24.6;0.0;*
12/4/20;7:00 AM;59.0;5.9;23.2;0.3;*
12/4/20;7:15 AM;56.4;1.0;26.7;2.8;*
12/4/20;7:30 AM;53.0;0.1;32.3;9.8;*
12/4/20;7:45 AM;51.2;0.2;36.2;22.0;*
12/4/20;8:00 AM;50.3;0.1;39.5;44.9;*
12/4/20;8:15 AM;50.7;0.3;41.2;47.6;*
12/4/20;8:30 AM;52.9;0.1;39.7;187.2;*
12/4/20;8:45 AM;57.4;0.1;36.6;308.8;*
12/4/20;9:00 AM;60.2;0.2;35.0;353.8;*
12/4/20;9:15 AM;62.5;2.1;32.2;399.9;*
12/4/20;9:30 AM;65.4;3.0;24.2;445.4;*
12/4/20;9:45 AM;66.0;3.3;27.9;486.1;*
12/4/20;10:00 AM;66.5;2.6;27.9;519.5;*
12/4/20;10:15 AM;68.5;2.4;25.2;549.0;*
12/4/20;10:30 AM;69.5;0.9;24.9;573.3;*
12/4/20;10:45 AM;71.8;0.1;22.1;595.6;*
12/4/20;11:00 AM;72.5;0.1;20.2;614.2;*
12/4/20;11:15 AM;72.8;1.8;19.5;631.1;*
12/4/20;11:30 AM;73.4;2.8;19.3;641.5;*
12/4/20;11:45 AM;74.5;2.6;18.5;646.7;*
12/4/20;12:00 PM;75.2;2.7;17.7;651.8;*
12/4/20;12:15 PM;74.1;4.0;16.1;656.2;*
12/4/20;12:30 PM;73.0;3.8;17.0;665.2;*
12/4/20;12:45 PM;71.0;4.3;26.1;676.0;*
12/4/20;1:00 PM;68.7;5.3;30.9;656.0;*
12/4/20;1:15 PM;69.0;3.4;31.8;395.1;*
12/4/20;1:30 PM;68.9;2.5;31.1;390.7;*
12/4/20;1:45 PM;69.7;2.2;31.7;393.6;*
12/4/20;2:00 PM;69.5;3.1;33.5;482.6;*
12/4/20;2:15 PM;70.3;2.3;36.2;470.4;*
12/4/20;2:30 PM;70.8;2.6;35.7;407.2;*
12/4/20;2:45 PM;70.9;2.4;34.5;332.0;*
12/4/20;3:00 PM;70.9;1.6;34.6;272.4;*
12/4/20;3:15 PM;71.0;2.3;34.8;263.3;*
12/4/20;3:30 PM;70.8;2.4;35.1;208.8;*
12/4/20;3:45 PM;69.1;2.3;35.2;153.7;*
12/4/20;4:00 PM;66.8;2.4;35.6;36.3;*
12/4/20;4:15 PM;64.0;0.1;31.8;22.8;*
12/4/20;4:30 PM;61.6;1.2;36.1;12.3;*
12/4/20;4:45 PM;59.8;0.1;38.2;5.1;*
12/4/20;5:00 PM;58.1;0.1;37.5;0.0;*
12/4/20;5:15 PM;56.8;0.1;39.8;0.0;*
12/4/20;5:30 PM;55.9;0.1;44.1;0.0;*
12/4/20;5:45 PM;55.3;0.1;54.8;0.0;*
12/4/20;6:00 PM;53.0;0.1;54.3;0.0;*
12/4/20;6:15 PM;51.1;0.1;52.8;0.0;*
12/4/20;6:30 PM;51.5;0.1;51.6;0.0;*
12/4/20;6:45 PM;50.1;0.1;55.2;0.0;*
12/4/20;7:00 PM;49.1;0.1;57.0;0.0;*
12/4/20;7:15 PM;47.7;0.1;58.8;0.0;*
12/4/20;7:30 PM;47.4;0.1;60.0;0.0;*
12/4/20;7:45 PM;46.6;0.1;60.3;0.0;*
12/4/20;8:00 PM;46.3;0.1;60.6;0.0;*
12/4/20;8:15 PM;46.0;0.1;62.2;0.0;*
12/4/20;8:30 PM;46.1;0.1;62.5;0.0;*
12/4/20;8:45 PM;45.6;0.1;62.1;0.0;*
12/4/20;9:00 PM;45.4;0.1;61.2;0.0;*
12/4/20;9:15 PM;45.3;0.1;61.5;0.0;*
12/4/20;9:30 PM;44.8;0.1;62.0;0.0;*
12/4/20;9:45 PM;44.7;0.1;62.9;0.0;*
12/4/20;10:00 PM;45.0;0.1;63.7;0.0;*
12/4/20;10:15 PM;44.9;0.1;63.9;0.0;*
12/4/20;10:30 PM;45.2;0.1;64.8;0.0;*
12/4/20;10:45 PM;45.6;0.1;65.0;0.0;*
12/4/20;11:00 PM;45.9;0.1;64.4;0.0;*
12/4/20;11:15 PM;45.9;0.1;64.4;0.0;*
12/4/20;11:30 PM;45.8;0.1;64.0;0.0;*
12/4/20;11:45 PM;45.8;0.1;64.4;0.0;*
12/5/20;12:00 AM;45.5;0.1;65.2;0.0;*
12/5/20;12:15 AM;44.9;0.1;65.9;0.0;*
12/5/20;12:30 AM;45.3;0.1;64.0;0.0;*
12/5/20;12:45 AM;45.2;0.1;64.1;0.0;*
12/5/20;1:00 AM;44.7;0.1;64.3;0.0;*
12/5/20;1:15 AM;44.2;0.1;64.7;0.0;*
12/5/20;1:30 AM;44.2;0.1;64.7;0.0;*
12/5/20;1:45 AM;43.9;0.1;64.8;0.0;*
12/5/20;2:00 AM;44.0;0.1;65.8;0.0;*
12/5/20;2:15 AM;43.7;0.1;65.8;0.0;*
12/5/20;2:30 AM;42.8;0.1;66.0;0.0;*
12/5/20;2:45 AM;42.4;0.1;66.9;0.0;*
12/5/20;3:00 AM;41.6;0.1;67.8;0.0;*
12/5/20;3:15 AM;41.2;0.1;68.8;0.0;*
12/5/20;3:30 AM;40.6;0.1;69.1;0.0;*
12/5/20;3:45 AM;40.4;0.1;68.4;0.0;*
12/5/20;4:00 AM;40.2;0.1;67.6;0.0;*
12/5/20;4:15 AM;40.1;0.1;67.0;0.0;*
12/5/20;4:30 AM;39.9;0.1;66.8;0.0;*
12/5/20;4:45 AM;40.2;0.1;65.8;0.0;*
12/5/20;5:00 AM;40.6;0.1;64.3;0.0;*
12/5/20;5:15 AM;39.6;0.1;63.9;0.0;*
12/5/20;5:30 AM;39.1;0.1;64.6;0.0;*
12/5/20;5:45 AM;38.7;0.1;64.5;0.0;*
12/5/20;6:00 AM;38.8;0.1;64.0;0.0;*
12/5/20;6:15 AM;38.9;0.1;63.6;0.0;*
12/5/20;6:30 AM;38.7;0.1;64.6;0.0;*
12/5/20;6:45 AM;38.4;0.1;64.0;0.0;*
12/5/20;7:00 AM;38.4;0.1;64.1;0.8;*
12/5/20;7:15 AM;38.0;0.1;64.8;5.9;*
12/5/20;7:30 AM;38.2;0.1;64.8;16.6;*
12/5/20;7:45 AM;38.4;0.1;65.7;26.5;*
12/5/20;8:00 AM;39.5;0.1;64.8;49.0;*
12/5/20;8:15 AM;41.5;0.1;61.9;53.7;*
12/5/20;8:30 AM;43.5;0.1;59.4;174.5;*
12/5/20;8:45 AM;48.9;0.1;54.2;297.6;*
12/5/20;9:00 AM;53.9;0.1;46.9;345.5;*
12/5/20;9:15 AM;56.3;0.1;42.3;389.2;*
12/5/20;9:30 AM;58.4;0.1;39.2;433.8;*
12/5/20;9:45 AM;61.1;0.1;34.7;475.4;*
12/5/20;10:00 AM;63.7;0.1;32.5;508.6;*
12/5/20;10:15 AM;65.3;0.1;31.7;539.5;*
12/5/20;10:30 AM;65.1;0.1;30.4;568.2;*
12/5/20;10:45 AM;65.6;0.1;27.1;590.0;*
12/5/20;11:00 AM;66.3;2.0;26.8;610.9;*
12/5/20;11:15 AM;67.4;2.8;25.4;623.7;*
12/5/20;11:30 AM;68.0;2.6;24.9;635.6;*
12/5/20;11:45 AM;68.2;2.7;25.3;642.6;*
12/5/20;12:00 PM;69.4;2.3;23.6;644.0;*
12/5/20;12:15 PM;70.1;2.9;22.4;653.6;*
12/5/20;12:30 PM;70.2;2.9;20.7;381.1;*
12/5/20;12:45 PM;71.0;3.1;20.8;633.0;*
