"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","Res.LL","Cum.Wt"
"6","(model 9) ~ Temp-M, VPD-M, Osml, Wind-C, VPD-C",8,651.453192880431,0,1,0.666455741887548,-317.100509483694,0.666455741887548
"5","(model 8) ~ Temp-M, VPD-M, Osml, Wind-C, VPD-C, Mass",9,654.005102264905,2.55190938447379,0.279164324946683,0.186050667290878,-317.213077448242,0.852506409178426
"7","(model 10) ~ Temp-M, VPD-M, Osml, Wind-C",7,654.477574754903,3.0243818744716,0.2204265078826,0.14690451184258,-319.756028756762,0.999410921021005
"4","(model 7) ~ Temp-M, VPD-M, Osml, Wind-C, VPD-C, Mass, Solar-C",10,665.635349413663,14.1821565332319,0.000832499225353873,0.000554823888854024,-321.844223379398,0.999965744909859
"3","(model 6) ~ Temp-M, VPD-M, Osml, Wind-C, VPD-C, Mass, Solar-C, Hct",11,671.817703106261,20.3645102258299,3.78357886751185e-05,2.52158786113766e-05,-323.730280124559,0.999990960788471
"2","(model 5) ~ Temp-M, VPD-M, Osml, Wind-C, VPD-C, Mass, Solar-C, Hct, Temp-Clo",12,674.278700785034,22.8255079046029,1.10536048514538e-05,7.36673842180745e-06,-323.733944987112,0.999998327526893
"1","(model 4) ~ Temp-M, VPD-M, Osml, Wind-C, VPD-C, Mass, Solar-C, Hct, Temp-Clo, SMI",13,677.24404403836,25.7908511579292,2.50950363598414e-06,1.67247310748931e-06,-323.967476564635,1
"9","(model 12) ~ Temp-M, VPD-M",5,751.349421936683,99.896229056252,2.03146562994637e-22,1.35388193352496e-22,-370.447438241069,1
"8","(model 11) ~ Temp-M, VPD-M, Osml",6,753.333462343433,101.880269463002,7.53321875033703e-23,5.02055689105705e-23,-370.346120484694,1
"10","(model 13) ~ Temp-M",4,764.032799636166,112.579606755735,3.57807142438081e-25,2.38462624566235e-25,-377.866023878233,1
"11","null model",3,778.742231514182,127.289038633751,2.28842380759729e-28,1.52513318644538e-28,-386.281563518285,1
