"","effect","group","term","estimate","std.error","statistic","df","p.value"
"1","fixed",NA,"(Intercept)",56.9778212961083,9.61817516943518,5.92397417310234,255.12755784762,1.01258650676005e-08
"2","fixed",NA,"cloacal_temp_C",-1.3485176282217,0.358464339926774,-3.76192964828015,257.622801946031,0.000208767211983553
"3","fixed",NA,"day_n",1.66814003617602,0.177515918887792,9.39712926382933,254.718561171473,3.35231138311778e-18
"4","fixed",NA,"humidity_tmtDry",-0.416711454495026,1.30850785185834,-0.31846309053722,254.064351109222,0.750395321030963
"5","fixed",NA,"temp_tmtCool",-0.228391649158492,1.3075550051514,-0.174670777335326,253.992845861041,0.8614774820565
"6","fixed",NA,"day_n:humidity_tmtDry",-1.34463143417924,0.232920451936698,-5.77292128277632,254.06937385202,2.26374498771496e-08
"7","fixed",NA,"day_n:temp_tmtCool",-0.715598580067098,0.231960585322069,-3.08500075162991,253.980935750302,0.00226057234614179
"8","fixed",NA,"humidity_tmtDry:temp_tmtCool",-0.708640378989216,1.85002350512054,-0.383043986753586,253.98356787643,0.702007540271314
"9","fixed",NA,"day_n:humidity_tmtDry:temp_tmtCool",0.748572993317827,0.327418253088124,2.28628974181336,253.98917833593,0.0230610311819857
"10","ran_pars","individual_ID:trial_number","sd__(Intercept)",2.3345550724253e-06,NA,NA,NA,NA
"11","ran_pars","trial_number","sd__(Intercept)",2.79246775023906,NA,NA,NA,NA
"12","ran_pars","Residual","sd__Observation",5.34808511210356,NA,NA,NA,NA
