"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","Res.LL","Cum.Wt"
"1","(model 1) ~ Temp-Clo, Day, Humd, Temp, Day:Humd, Day:Temp, Humd:Temp, Day:Humd:Temp",12,1577.32734280122,0,1,0.739506997297434,-776.016368496047,0.739506997297434
"2","(model 2) ~ Temp-Clo, Day, Humd, Temp, Day:Humd, Day:Temp, Humd:Temp",11,1579.41415829022,2.08681548900154,0.352252248666411,0.260493002702566,-778.161624599657,1
"5","(model 2c) ~ Temp-Clo, Day, Humd, Temp, Day:Humd, Humd:Temp",10,1686.49361962596,109.166276824737,1.97171519141258e-24,1.45809718072725e-24,-832.817122312979,1
"3","(model 2a) ~ Temp-Clo, Day, Humd, Temp, Day:Humd, Day:Temp",10,1689.3882901772,112.060947375973,4.63739894501845e-25,3.42938896910088e-25,-834.264457588598,1
"9","(model 3a) ~ Temp-Clo, Day, Humd, Temp, Day:Humd",9,1689.62413673295,112.296793931726,4.12155433910827e-25,3.04791827351216e-25,-835.461873813945,1
"8","(model 2cx) ~ Day, Humd, Temp, Day:Humd, Humd:Temp",9,1697.86662043395,120.539277632729,6.68695554097909e-27,4.94505041317088e-27,-839.583115664446,1
"6","(model 2ax) ~ Day, Humd, Temp, Day:Humd, Day:Temp",9,1700.42374274619,123.096399944964,1.86190012407244e-27,1.37688817002053e-27,-840.861676820564,1
"12","(model 3ax) ~ Day, Humd, Temp, Day:Humd",8,1701.33537356529,124.008030764069,1.18031591686786e-27,8.72851879545319e-28,-842.388617015204,1
"11","(model 3c) ~ Temp-Clo, Day, Humd, Temp, Humd:Temp",9,1713.37897427678,136.051631475558,2.86261932053743e-30,2.11692701813625e-30,-847.339292585861,1
"4","(model 2b) ~ Temp-Clo, Day, Humd, Temp, Day:Temp, Humd:Temp",10,1713.86624256371,136.538899762489,2.24364754221918e-30,1.65919305694027e-30,-846.503433781855,1
"10","(model 3b) ~ Temp-Clo, Day, Humd, Temp, Day:Temp",9,1716.80060958901,139.473266787791,5.17326744014248e-31,3.82566747087635e-31,-849.050110241977,1
"7","(model 2bx) ~ Day, Humd, Temp, Day:Temp, Humd:Temp",9,1732.04570563635,154.718362835125,2.53124618379485e-34,1.87187426479871e-34,-856.672658265644,1
"14","(model 3cx) ~ Day, Humd, Temp, Humd:Temp",8,1732.24262735874,154.915284557518,2.29389416721763e-34,1.69635078771721e-34,-857.842243911928,1
"13","(model 3bx) ~ Day, Humd, Temp, Day:Temp",8,1735.36086792984,158.033525128621,4.82454143299626e-35,3.56778214845212e-35,-859.40136419748,1
"15","(model 4) ~ Day, Humd, Temp",7,1735.52736417985,158.200021378632,4.43917063676853e-35,3.28279774808763e-35,-860.547465873711,1
"16","(model 4a) ~ Day, Humd",6,1742.58628170807,165.258938906851,1.3015995020567e-36,9.62541939449787e-37,-865.131602392498,1
"17","(model 4b) ~ Day, Temp",6,1776.43100287102,199.103660069802,5.82357338399537e-44,4.30657326673967e-44,-882.053962973974,1
"19","(model 5a) ~ Day",5,1782.12058727864,204.793244477416,3.3861952502218e-45,2.50411508175436e-45,-885.945351110583,1
"18","(model 4c) ~ Humd, Temp",6,1828.29123716422,250.963894362996,3.19067640394701e-55,2.35952752683063e-55,-907.98408012057,1
"21","(model 5c) ~ Humd",5,1833.47172960209,256.144386800865,2.39305742863938e-56,1.76968271341342e-56,-911.620922272308,1
"20","(model 5b) ~ Temp",5,1857.05341651896,279.726073717736,1.81240340723921e-61,1.3402850015791e-61,-923.411765730743,1
"22","null model",4,1861.48335909934,284.156016298116,1.9783588088503e-62,1.46301018230981e-62,-926.665343671806,1
