"","predictors","K","AICc","Delta_AICc","ModelLik","AICcWt","Res.LL","Cum.Wt"
"2d","Day:Humd, Day:Temp",7,554.597067864542,0,1,0.201234860970725,-270.228182173477,0.201234860970725
"3a","Day, Day:Humd, Day:Temp",7,554.597067924407,5.98643055127468e-08,0.999999970067848,0.201234854947332,-270.228182203409,0.402469715918057
"2e","Day:Humd, Day:Humd:Temp",8,556.579286388939,1.98221852439701,0.37116474356596,0.0746912855687306,-270.199077156734,0.477161001486787
"3b","Day, Day:Humd, Day:Humd:Temp",8,556.579286388942,1.98221852439963,0.371164743565475,0.0746912855686329,-270.199077156735,0.55185228705542
"1d","Day:Humd:Temp",8,556.579286388947,1.98221852440452,0.371164743564567,0.0746912855684504,-270.199077156738,0.626543572623871
"3c","Day, Day:Temp, Day:Humd:Temp",8,556.579286388953,1.98221852441031,0.371164743563491,0.0746912855682338,-270.19907715674,0.701234858192104
"2f","Day:Temp, Day:Humd:Temp",8,556.579286388954,1.98221852441134,0.371164743563301,0.0746912855681956,-270.199077156741,0.7759261437603
"3d","Day:Humd, Day:Temp, Day:Humd:Temp",8,556.579286393103,1.98221852856045,0.371164742793299,0.0746912854132443,-270.199077158815,0.850617429173544
"2c","Day, Day:Humd:Temp",8,556.579286393116,1.9822185285733,0.371164742790915,0.0746912854127645,-270.199077158822,0.925308714586309
"4","Day, Day:Humd, Day:Temp, Day:Humd:Temp",8,556.57928639312,1.98221852857785,0.371164742790071,0.0746912854125947,-270.199077158824,0.999999999998904
"2b","Day, Day:Temp",6,607.854666308813,53.2575984442708,2.72432827677721e-12,5.48229822015875e-13,-297.874635538346,0.999999999999452
"1c","Day:Temp",6,607.854666308817,53.2575984442745,2.7243282767721e-12,5.48229822014847e-13,-297.874635538348,1
"2a","Day, Day:Humd",6,914.38870906726,359.791641202718,7.451398591469e-79,1.49948115959172e-79,-451.14165691757,1
"1b","Day:Humd",6,914.38870906726,359.791641202718,7.451398591469e-79,1.49948115959172e-79,-451.14165691757,1
"1a","Day",5,945.793069512325,391.196001647783,1.12945145928571e-85,2.27285007382541e-86,-467.8589407712,1
"null","Null",4,1985.14281285367,1430.54574498913,2.29582309571262e-311,4.61999641478905e-312,-988.546375137725,1
