,effect,group,term,estimate,std.error,statistic,df,p.value,response
1,fixed,NA,(Intercept),55.92,9.52,5.87,257.76,0.00,CEWL (g/m2h)
2,fixed,NA,cloacal_temp_C,-1.33,0.36,-3.72,260.63,0.00,CEWL (g/m2h)
3,fixed,NA,day_n,1.73,0.15,11.95,258.14,0.00,CEWL (g/m2h)
4,fixed,NA,day_n:humidity_tmtDry,-1.40,0.17,-8.46,257.22,0.00,CEWL (g/m2h)
5,fixed,NA,day_n:temp_tmtCool,-0.74,0.16,-4.53,256.99,0.00,CEWL (g/m2h)
6,fixed,NA,day_n:humidity_tmtDry:temp_tmtCool,0.66,0.23,2.86,257.00,0.00,CEWL (g/m2h)
7,ran_pars,individual_ID:trial_number,sd__(Intercept),0.00,NA,NA,NA,NA,CEWL (g/m2h)
8,ran_pars,trial_number,sd__(Intercept),2.80,NA,NA,NA,NA,CEWL (g/m2h)
9,ran_pars,Residual,sd__Observation,5.33,NA,NA,NA,NA,CEWL (g/m2h)
10,fixed,NA,(Intercept),351.10,2.39,146.82,9.90,0.00,Plasma Osmolality (mmol/kg)
11,fixed,NA,day_n,0.93,0.43,2.17,347.35,0.03,Plasma Osmolality (mmol/kg)
12,fixed,NA,day_n:temp_tmtCool,-1.10,0.47,-2.34,293.29,0.02,Plasma Osmolality (mmol/kg)
13,ran_pars,individual_ID:trial_number,sd__(Intercept),3.48,NA,NA,NA,NA,Plasma Osmolality (mmol/kg)
14,ran_pars,trial_number,sd__(Intercept),3.36,NA,NA,NA,NA,Plasma Osmolality (mmol/kg)
15,ran_pars,Residual,sd__Observation,23.14,NA,NA,NA,NA,Plasma Osmolality (mmol/kg)
16,fixed,NA,(Intercept),38.84,1.27,30.58,4.24,0.000004,Hematocrit (%)
17,fixed,NA,day_n,-1.49,0.08,-19.00,330.31,0.000000,Hematocrit (%)
18,fixed,NA,day_n:temp_tmtCool,0.37,0.10,3.67,389.73,0.000272,Hematocrit (%)
19,ran_pars,individual_ID:trial_number,sd__(Intercept),3.51,NA,NA,NA,NA,Hematocrit (%)
20,ran_pars,trial_number,sd__(Intercept),2.67,NA,NA,NA,NA,Hematocrit (%)
21,ran_pars,Residual,sd__Observation,3.86,NA,NA,NA,NA,Hematocrit (%)
22,fixed,NA,(Intercept),11.67,0.23,50.92,3.94,0.000001,Body Condition (g)
23,fixed,NA,day_n,-0.24,0.01,-39.51,696.40,0.000000,Body Condition (g)
24,fixed,NA,day_n:humidity_tmtDry,-0.07,0.01,-7.70,706.14,0.000000,Body Condition (g)
25,fixed,NA,day_n:temp_tmtCool,0.12,0.01,13.68,706.28,0.000000,Body Condition (g)
26,fixed,NA,day_n:humidity_tmtDry:temp_tmtCool,0.03,0.01,2.67,706.27,0.007874,Body Condition (g)
27,ran_pars,individual_ID:trial_number,sd__(Intercept),0.97,NA,NA,NA,NA,Body Condition (g)
28,ran_pars,trial_number,sd__(Intercept),0.47,NA,NA,NA,NA,Body Condition (g)
29,ran_pars,Residual,sd__Observation,0.22,NA,NA,NA,NA,Body Condition (g)
