"","effect","group","term","estimate","std.error","statistic","df","p.value","response"
"1","fixed",NA,"(Intercept)",351.093642954403,2.41463222384275,145.402533556708,9.67312515118387,1.75792284974174e-17,"Plasma Osmolality (mmol/kg)"
"2","fixed",NA,"day_n",0.428168111319667,0.539384783540523,0.793808287488517,383.290431390188,0.427798205980598,"Plasma Osmolality (mmol/kg)"
"3","fixed",NA,"day_n:temp_tmtCool",-0.632634014885687,0.660927641131184,-0.957191038043027,290.984001205559,0.339265420347341,"Plasma Osmolality (mmol/kg)"
"4","fixed",NA,"day_n:humidity_tmtDry",1.01864378481247,0.661297604661898,1.54037119994298,291.673701532976,0.124554059912337,"Plasma Osmolality (mmol/kg)"
"5","fixed",NA,"day_n:temp_tmtCool:humidity_tmtDry",-0.941147750113078,0.940102691556947,-1.00111164297849,290.66089690608,0.31760552852666,"Plasma Osmolality (mmol/kg)"
"6","ran_pars","individual_ID:trial_number","sd__(Intercept)",3.42028462888909,NA,NA,NA,NA,"Plasma Osmolality (mmol/kg)"
"7","ran_pars","trial_number","sd__(Intercept)",3.44902001094081,NA,NA,NA,NA,"Plasma Osmolality (mmol/kg)"
"8","ran_pars","Residual","sd__Observation",23.1363043052022,NA,NA,NA,NA,"Plasma Osmolality (mmol/kg)"
"9","fixed",NA,"(Intercept)",351.099717466189,2.4133790608841,145.480551794283,9.65708320115598,1.84672387376708e-17,"Plasma Osmolality (mmol/kg)"
"10","fixed",NA,"day_n",0.657223926405731,0.487988684223394,1.34680157072016,378.520598534051,0.178849951221669,"Plasma Osmolality (mmol/kg)"
"11","fixed",NA,"day_n:temp_tmtCool",-1.09872844448701,0.470462488944562,-2.33542199496479,292.900919799352,0.0201964629486803,"Plasma Osmolality (mmol/kg)"
"12","fixed",NA,"day_n:humidity_tmtDry",0.554287381151144,0.471143287457982,1.17647305163098,294.781751279152,0.240355048799934,"Plasma Osmolality (mmol/kg)"
"13","ran_pars","individual_ID:trial_number","sd__(Intercept)",3.60364134676247,NA,NA,NA,NA,"Plasma Osmolality (mmol/kg)"
"14","ran_pars","trial_number","sd__(Intercept)",3.44305754438292,NA,NA,NA,NA,"Plasma Osmolality (mmol/kg)"
"15","ran_pars","Residual","sd__Observation",23.1104308098408,NA,NA,NA,NA,"Plasma Osmolality (mmol/kg)"
