"","predictors","K","AICc","Delta_AICc","ModelLik","AICcWt","Res.LL","Cum.Wt"
"1c","Day:Temp",6,2396.83264467511,0,1,0.362603004383014,-1192.30890545776,0.362603004383014
"2b","Day, Day:Temp",6,2396.83264467511,9.09494701772928e-13,0.999999999999545,0.362603004382849,-1192.30890545776,0.725206008765864
"2d","Day:Humd, Day:Temp",7,2400.53795246851,3.70530779340561,0.156820428350739,0.056863558468609,-1193.12538649067,0.782069567234473
"3a","Day, Day:Humd, Day:Temp",7,2400.53795249568,3.70530782056994,0.156820426220777,0.0568635576962787,-1193.12538650425,0.838933124930751
"4","Day, Day:Humd, Day:Temp, Day:Humd:Temp",8,2402.70249578562,5.86985111051672,0.0531346747563001,0.0192667927035487,-1193.16615791852,0.8581999176343
"3c","Day, Day:Temp, Day:Humd:Temp",8,2402.70249578562,5.86985111051717,0.053134674756288,0.0192667927035443,-1193.16615791852,0.877466710337844
"3d","Day:Humd, Day:Temp, Day:Humd:Temp",8,2402.70249578562,5.86985111051717,0.053134674756288,0.0192667927035443,-1193.16615791852,0.896733503041389
"2f","Day:Temp, Day:Humd:Temp",8,2402.70249578562,5.86985111051717,0.053134674756288,0.0192667927035443,-1193.16615791852,0.916000295744933
"3b","Day, Day:Humd, Day:Humd:Temp",8,2402.70249578563,5.86985111051763,0.0531346747562759,0.01926679270354,-1193.16615791852,0.935267088448473
"2e","Day:Humd, Day:Humd:Temp",8,2402.70249578563,5.86985111051763,0.0531346747562759,0.01926679270354,-1193.16615791852,0.954533881152013
"1d","Day:Humd:Temp",8,2402.70249578563,5.86985111051763,0.0531346747562759,0.01926679270354,-1193.16615791852,0.973800673855553
"2c","Day, Day:Humd:Temp",8,2402.70249578563,5.86985111051808,0.0531346747562638,0.0192667927035356,-1193.16615791852,0.993067466559089
"1a","Day",5,2405.25469789456,8.42205321945721,0.0148311347327381,0.00537781401250012,-1197.55081833504,0.998445280571589
"1b","Day:Humd",6,2409.12296600921,12.2903213341042,0.00214383142116674,0.000777359714205766,-1198.45406612481,0.999222640285794
"2a","Day, Day:Humd",6,2409.12296600921,12.2903213341046,0.00214383142116625,0.000777359714205589,-1198.45406612481,1
"null","Null",4,2668.87957251871,272.046927843598,8.42869248895398e-60,3.05626921951526e-60,-1330.38889567411,1
