"","effect","group","term","estimate","std.error","statistic","df","p.value","response"
"1","fixed",NA,"(Intercept)",351.093642954349,2.41463222365222,145.402533568158,9.67312511515152,1.75792306340498e-17,"Plasma Osmolality (mmol/kg)"
"2","fixed",NA,"day_n",0.428168111330555,0.539384783541113,0.793808287507834,383.290431345816,0.427798205969422,"Plasma Osmolality (mmol/kg)"
"3","fixed",NA,"day_n:humidity_tmtDry",1.01864378481068,0.661297604651433,1.54037119996466,291.673701927532,0.124554059905591,"Plasma Osmolality (mmol/kg)"
"4","fixed",NA,"day_n:temp_tmtCool",-0.632634014849667,0.660927641120747,-0.957191038003643,290.984001400375,0.33926542036665,"Plasma Osmolality (mmol/kg)"
"5","fixed",NA,"day_n:humidity_tmtDry:temp_tmtCool",-0.941147750147177,0.940102691542044,-1.00111164303063,290.660896863858,0.317605528501618,"Plasma Osmolality (mmol/kg)"
"6","ran_pars","individual_ID:trial_number","sd__(Intercept)",3.42028462521399,NA,NA,NA,NA,"Plasma Osmolality (mmol/kg)"
"7","ran_pars","trial_number","sd__(Intercept)",3.44902001030097,NA,NA,NA,NA,"Plasma Osmolality (mmol/kg)"
"8","ran_pars","Residual","sd__Observation",23.1363043057404,NA,NA,NA,NA,"Plasma Osmolality (mmol/kg)"
"9","fixed",NA,"(Intercept)",38.8414215852931,1.26040508674006,30.8166176048635,4.24416884978773,3.7394468878859e-06,"Hematocrit (%)"
"10","fixed",NA,"day_n",-1.60140746165573,0.107248426309545,-14.9317571992495,365.23332578974,1.08888277944535e-39,"Hematocrit (%)"
"11","fixed",NA,"day_n:humidity_tmtDry",0.222599466725706,0.142260880506307,1.56472718243746,387.768481816746,0.11846258003929,"Hematocrit (%)"
"12","fixed",NA,"day_n:temp_tmtCool",0.483511697718293,0.141409073597339,3.41924096819336,387.784805331765,0.000694603997891622,"Hematocrit (%)"
"13","fixed",NA,"day_n:humidity_tmtDry:temp_tmtCool",-0.227839170068165,0.199108138034919,-1.14429863247582,387.788020703202,0.253205626339439,"Hematocrit (%)"
"14","ran_pars","individual_ID:trial_number","sd__(Intercept)",3.50121296738074,NA,NA,NA,NA,"Hematocrit (%)"
"15","ran_pars","trial_number","sd__(Intercept)",2.64655712030182,NA,NA,NA,NA,"Hematocrit (%)"
"16","ran_pars","Residual","sd__Observation",3.86304689302896,NA,NA,NA,NA,"Hematocrit (%)"
