AIC,RMSE,model,predictor,group,estimate,std.error,statistic,df,p.value
914.9,6.76,ÆCEWL ~ Humidity*Temperature,(Intercept),NA,15.66385869,2.511913617,6.235826976,5.864304224,0.000859051
,,,humidity_tmtDry,NA,-11.94641993,1.706744915,-6.999534508,125.0776802,1.39E-10
,,,temp_tmtCool,NA,-6.18955089,1.716358662,-3.606210651,125.0089591,0.000447443
,,,humidity_tmtDry:temp_tmtCool,NA,6.178202747,2.419150413,2.553872927,125.0199578,0.011854104
,,,sd__(Intercept),trial_number,4.91076025,NA,NA,NA,NA
,,,sd__Observation,Residual,6.968163878,NA,NA,NA,NA
935.78,7.46,ÆCEWL ~ VPD,(Intercept),NA,14.20613733,2.480992141,5.72599046,5.976308047,0.001247763
,,,VPD_kPa,NA,-3.020466897,0.527416884,-5.72690596,127.1525668,7.00E-08
,,,sd__(Intercept),trial_number,4.7815211,NA,NA,NA,NA
,,,sd__Observation,Residual,7.623772059,NA,NA,NA,NA
