"","effect","group","term","estimate","std.error","statistic","df","p.value"
"1","fixed",NA,"(Intercept)",350.734820634569,4.04719551261127,86.6612002167084,69.4079667102953,1.76492963554046e-72
"2","fixed",NA,"day_n",0.480845697438972,0.71933566295553,0.668458026206186,252.568973487944,0.504451713927965
"3","fixed",NA,"humidity_tmtDry",-0.596490092418995,5.25815555175706,-0.113440936949778,364.931635369149,0.909743366336577
"4","fixed",NA,"temp_tmtCool",3.34156968639024,5.25481793010281,0.635905892618598,364.463422566482,0.525236861841773
"5","fixed",NA,"day_n:humidity_tmtDry",1.10625473035437,1.01781862910865,1.08688787836706,255.091252848644,0.278112302291554
"6","fixed",NA,"day_n:temp_tmtCool",-1.12686063999439,1.01783038589739,-1.10712025854963,255.085802848657,0.269284848233486
"7","fixed",NA,"humidity_tmtDry:temp_tmtCool",-4.13268295293873,7.42959241336156,-0.556246254573321,364.394053121205,0.578383927174353
"8","fixed",NA,"day_n:humidity_tmtDry:temp_tmtCool",-0.330107509058353,1.44540624473818,-0.228383895711028,256.460652649454,0.819529802855895
"9","ran_pars","individual_ID:trial_number","sd__(Intercept)",3.49744877583812,NA,NA,NA,NA
"10","ran_pars","trial_number","sd__(Intercept)",3.40604953733186,NA,NA,NA,NA
"11","ran_pars","Residual","sd__Observation",23.1908337005315,NA,NA,NA,NA
