"","effect","group","term","estimate","std.error","statistic","df","p.value"
"1","fixed",NA,"(Intercept)",350.410750906117,3.78783105155574,92.5096040812583,54.8513432130479,6.39733678149738e-62
"2","fixed",NA,"day_n",0.562356412703874,0.622833106417844,0.90290064370246,254.779203351764,0.367431467660889
"3","fixed",NA,"humidity_tmtDry",0.0458737929890459,4.44199920074999,0.0103272852866116,284.929535025866,0.991767392022936
"4","fixed",NA,"temp_tmtCool",3.9836088076947,4.43855980301147,0.897500311923679,284.592967258026,0.370210625444812
"5","fixed",NA,"day_n:humidity_tmtDry",0.942237774487902,0.721334772367404,1.30624199828257,257.430691991129,0.192636172515446
"6","fixed",NA,"day_n:temp_tmtCool",-1.29089159769613,0.721342009087911,-1.78956941566232,257.425904753574,0.0746985637604405
"7","fixed",NA,"humidity_tmtDry:temp_tmtCool",-5.41879637032574,4.84740006494925,-1.11787686135257,121.307061401024,0.265828575686297
"8","ran_pars","individual_ID:trial_number","sd__(Intercept)",3.59650505120976,NA,NA,NA,NA
"9","ran_pars","trial_number","sd__(Intercept)",3.40662522815296,NA,NA,NA,NA
"10","ran_pars","Residual","sd__Observation",23.147215379766,NA,NA,NA,NA
