"","predictors","K","AICc","Delta_AICc","ModelLik","AICcWt","Res.LL","Cum.Wt"
"4","Day, Day:Humd, Day:Temp, Day:Humd:Temp",8,3585.29119760766,0,1,0.0846855700309118,-1784.45711712844,0.0846855700309118
"3b","Day, Day:Humd, Day:Humd:Temp",8,3585.29119760766,0,1,0.0846855700309118,-1784.45711712844,0.169371140061824
"3d","Day:Humd, Day:Temp, Day:Humd:Temp",8,3585.29119760766,4.54747350886464e-13,0.999999999999773,0.0846855700308926,-1784.45711712844,0.254056710092716
"2f","Day:Temp, Day:Humd:Temp",8,3585.29119760766,4.54747350886464e-13,0.999999999999773,0.0846855700308926,-1784.45711712844,0.338742280123609
"3c","Day, Day:Temp, Day:Humd:Temp",8,3585.29119760766,9.09494701772928e-13,0.999999999999545,0.0846855700308733,-1784.45711712844,0.423427850154482
"2c","Day, Day:Humd:Temp",8,3585.29119760766,9.09494701772928e-13,0.999999999999545,0.0846855700308733,-1784.45711712844,0.508113420185356
"2e","Day:Humd, Day:Humd:Temp",8,3585.29119760766,9.09494701772928e-13,0.999999999999545,0.0846855700308733,-1784.45711712844,0.592798990216229
"1d","Day:Humd:Temp",8,3585.29119760766,9.09494701772928e-13,0.999999999999545,0.0846855700308733,-1784.45711712844,0.677484560247102
"2b","Day, Day:Temp",6,3585.56150721785,0.270309610193635,0.873580666480328,0.0739796767088705,-1786.67137860893,0.751464236955973
"1c","Day:Temp",6,3585.56150721785,0.270309610193635,0.873580666480328,0.0739796767088705,-1786.67137860893,0.825443913664843
"3a","Day, Day:Humd, Day:Temp",7,3585.92136328651,0.630165678856429,0.729728421479967,0.0617974673407885,-1785.81446754404,0.887241381005632
"2d","Day:Humd, Day:Temp",7,3585.92136328651,0.630165678856429,0.729728421479967,0.0617974673407885,-1785.81446754404,0.94903884834642
"null","Null",4,3588.19383371826,2.90263611060436,0.234261315148287,0.0198385530095238,-1790.04510338763,0.968877401355944
"1a","Day",5,3589.27848298071,3.9872853730526,0.13619839267793,0.0115340385212245,-1789.56131941243,0.980411439877168
"2a","Day, Day:Humd",6,3589.60549095453,4.31429334687482,0.115654651174228,0.00979428006141577,-1788.69337047727,0.990205719938584
"1b","Day:Humd",6,3589.60549095453,4.31429334687482,0.115654651174228,0.00979428006141577,-1788.69337047727,1
