"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","Res.LL","Cum.Wt"
"1","(model 1) ~ Rhyd, Rhyd:Humd, Rhyd:Temp, Rhyd:Humd:Temp",11,2336.20787984632,0,1,0.989136015864996,-1156.56073004662,0.989136015864996
"2","(model 2) ~ Rhyd, Rhyd:Humd, Rhyd:Temp",9,2345.34140539344,9.13352554712219,0.0103915451110963,0.0102786515298712,-1163.30335575795,0.999414667394867
"3","(model 2a) ~ Rhyd, Rhyd:Temp",7,2351.09974574859,14.8918659022638,0.00058381117895016,0.000577468663564208,-1168.32315222652,0.999992136058431
"4","(model 2b) ~ Rhyd, Rhyd:Humd",7,2359.79668098521,23.5888011388879,7.54669703340847e-06,7.46470983656584e-06,-1172.67161984483,0.999999600768268
"5","(model 3) ~ Rhyd",5,2365.66537413923,29.4574942929034,4.01223524813726e-07,3.96864638805559e-07,-1177.7122051419,0.999999997632907
"6","null model",4,2375.90923925153,39.7013594052037,2.39309171448357e-09,2.36709320406381e-09,-1183.87461962576,1
"11","(model 1) ~ Rhyd, Rhyd:Humd, Rhyd:Temp, Rhyd:Humd:Temp",11,1606.29196782714,0,1,0.708128475588188,-791.61586343164,0.708128475588188
"31","(model 2a) ~ Rhyd, Rhyd:Temp",7,1609.22038761843,2.9284197912923,0.231260639350414,0.163762244006758,-797.388849935696,0.871890719594946
"21","(model 2) ~ Rhyd, Rhyd:Humd, Rhyd:Temp",9,1609.74113245353,3.44916462639958,0.178247487849178,0.126222121848063,-795.512000489716,0.998112841443009
"51","(model 3) ~ Rhyd",5,1619.29919816698,13.0072303398472,0.00149801381756108,0.00106078624103957,-804.531952024668,0.999173627684049
"41","(model 2b) ~ Rhyd, Rhyd:Humd",7,1619.80007480294,13.5081069758048,0.00116614308065261,0.000825779122020244,-802.678693527952,0.999999406806069
"61","null model",4,1634.27719726397,27.9852294368325,8.37692525546541e-07,5.93193931126891e-07,-813.060473631984,1
"32","(model 2a) ~ Rhyd, Rhyd:Temp",7,730.154001142464,0,1,0.969665934729741,-357.859946307666,0.969665934729741
"22","(model 2) ~ Rhyd, Rhyd:Humd, Rhyd:Temp",9,737.236563906158,7.08256276369423,0.028976173740442,0.0280972085949171,-359.266719453079,0.997763143324658
"12","(model 1) ~ Rhyd, Rhyd:Humd, Rhyd:Temp, Rhyd:Humd:Temp",11,742.297761258436,12.1437601159723,0.00230683215294885,0.00223685655585377,-359.629195589848,0.999999999880512
"52","(model 3) ~ Rhyd",5,775.858384723985,45.7043835815213,1.18964999163025e-10,1.15356307113537e-10,-382.813807746608,0.999999999995868
"42","(model 2b) ~ Rhyd, Rhyd:Humd",7,782.516905491376,52.3629043489121,4.26127725931411e-12,4.1320153967954e-12,-384.041398482122,1
"62","null model",4,809.247830104294,79.0938289618296,6.68333552475575e-18,6.48060278872477e-18,-400.547286699656,1
