"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","Res.LL","Cum.Wt"
"1","(model 1) ~ Rhyd, Humd, Temp, Rhyd:Humd, Rhyd:Temp, Humd:Temp, Rhyd:Humd:Temp",11,2336.20787984632,0,1,0.86521968855107,-1156.56073004662,0.86521968855107
"2","(model 2) ~ Rhyd, Humd, Temp, Rhyd:Humd, Rhyd:Temp, Humd:Temp",10,2340.8242959756,4.61641612927315,0.0994392807673117,0.0860368235352358,-1159.96132831567,0.951256512086306
"5","(model 2c) ~ Rhyd, Humd, Temp, Rhyd:Humd, Humd:Temp",9,2344.0475938124,7.83971396607376,0.0198439325604087,0.0171693611495452,-1162.65644996742,0.968425873235851
"4","(model 2b) ~ Rhyd, Humd, Temp, Rhyd:Temp, Humd:Temp",9,2344.23043242147,8.02255257514889,0.0181102665723309,0.015669359203289,-1162.74786927196,0.98409523243914
"3","(model 2a) ~ Rhyd, Humd, Temp, Rhyd:Humd, Rhyd:Temp",9,2345.34140539344,9.13352554712219,0.0103915451110963,0.00899096942458716,-1163.30335575795,0.993086201863727
"8","(model 3c) ~ Rhyd, Humd, Temp, Humd:Temp",8,2347.46333662188,11.2554567755587,0.00359673644483786,0.0031119671866029,-1165.43898538411,0.99619816905033
"6","(model 3a) ~ Rhyd, Humd, Temp, Rhyd:Humd",8,2348.58424313211,12.3763632857926,0.00205355746116601,0.00177677834697179,-1165.99943863923,0.997974947397302
"7","(model 3b) ~ Rhyd, Humd, Temp, Rhyd:Temp",8,2348.78535870543,12.5774788591084,0.00185709947668985,0.00160679903082995,-1166.09999642589,0.999581746428132
"9","(model 4) ~ Rhyd, Humd, Temp",7,2352.03757701652,15.8296971702025,0.000365279192761875,0.000316046749395616,-1168.79206786049,0.999897793177528
"11","(model 4b) ~ Rhyd, Temp",6,2354.37019785666,18.1623180103416,0.000113789648210177,9.84530439847451e-05,-1171.01574408962,0.999996246221512
"12","(model 4c) ~ Humd, Temp",6,2362.47788326703,26.2700034207032,1.97488239078955e-06,1.70870712708393e-06,-1175.0695867948,0.999997954928639
"10","(model 4a) ~ Rhyd, Humd",6,2363.25179766664,27.0439178203173,1.34118244675169e-06,1.16041745886866e-06,-1175.45654399461,0.999999115346098
"14","(model 5b) ~ Temp",5,2364.82487887462,28.6169990282956,6.10798014569813e-07,5.28474467933706e-07,-1177.2919575096,0.999999643820566
"13","(model 5a) ~ Rhyd",5,2365.66537413923,29.4574942929039,4.01223524813635e-07,3.47146493178616e-07,-1177.7122051419,0.999999990967059
"15","(model 5c) ~ Humd",5,2373.48382206578,37.2759422194576,8.04696279118928e-09,6.96239063997484e-09,-1181.62142910518,0.99999999792945
"16","null model",4,2375.90923925153,39.7013594052037,2.39309171448357e-09,2.07055006787962e-09,-1183.87461962576,1
